Zoning Case: C14-2014-0167
Meeting Date: 2015-04-16T00:00:00.000
Agenda Item: 21
Source URL: http://austintx.swagit.com/play/45674/0/
================================================================================

[0.00s -> 5.00s]  Welcome back, Mr. Grincy.
[2051.00s -> 2056.00s]  are reasonably necessary associated with your easement rights.
[2056.00s -> 2062.00s]  So it's possible that a landowner could, behind easement, you know, the green part or whatever that was,
[2062.00s -> 2069.00s]  could go into court and say, the uses that you're making of your green property go beyond
[2069.00s -> 2075.00s]  what the easement allows you to do, if they erected a commercial use there, or if they did other things.
[2075.00s -> 2078.00s]  One question is the question of access.
[2078.00s -> 2087.00s]  So one question is, does this easement give the easement holder the right to deny access?
[2087.00s -> 2092.00s]  And I'm not going to express legal opinion on that one.
[2092.00s -> 2100.00s]  But my gut tells me that the place for that to be resolved, if they, I mean, I would hope they would sit down and, you know,
[2100.00s -> 2106.00s]  I would hope that as a good neighbor or whatever, they would look at that and open up access for the people
[2106.00s -> 2107.00s]  back behind it.
[2107.00s -> 2112.00s]  But whether or not they have a legal obligation to do that ultimately would be a court reading
[2112.00s -> 2117.00s]  that very easement you're reading and saying, now does that give them a right to actually stop access?
[2117.00s -> 2119.00s]  You know, my personal view is probably not.
[2119.00s -> 2128.00s]  I would say that they could still fulfill all their uses, but still allow for some measure of access to the person back behind it.
[2128.00s -> 2133.00s]  So I'm not giving legal advice to anybody in this room.
[2133.00s -> 2142.00s]  But my belief is that those kinds of questions, the forum to decide those kinds of questions probably isn't this table.
[2142.00s -> 2145.00s]  There's a different forum for those kinds of things to be said.
[2145.00s -> 2154.00s]  And I'm neither a lawyer or a smart person, but just common sense is that if you completely blocked off the piece, easement,
[2154.00s -> 2162.00s]  even if you have a right to do that, then the property owner in the green part should have some right to enter and exit
[2162.00s -> 2165.00s]  that property to their benefit.
[2165.00s -> 2168.00s]  But I don't see that that's a city council decision.
[2168.00s -> 2172.00s]  I think that's a court issue.
[2172.00s -> 2174.00s]  I miss a kitchen.
[2174.00s -> 2175.00s]  I miss pool.
[2175.00s -> 2176.00s]  So I apologize.
[2176.00s -> 2181.00s]  So the question in front of us, we've just talked about what should not be in front of us.
[2181.00s -> 2183.00s]  What is in front of us?
[2183.00s -> 2187.00s]  Well, there's not a motion in front of us that one has to be made.
[2187.00s -> 2188.00s]  No, I know.
[2188.00s -> 2191.00s]  But we're being asked to make a decision on a conditional overlay.
[2191.00s -> 2193.00s]  Well, a zoning and a conditional overlay.
[2193.00s -> 2194.00s]  A zoning, yes.
[2194.00s -> 2206.00s]  So someone could move to grant the LR zoning with the conditional overlay that says no fence.
[2206.00s -> 2215.00s]  Someone could make a motion to grant the LR zoning without the condition of offense or they could make a motion to not change the zoning.
[2215.00s -> 2216.00s]  Okay.
[2217.00s -> 2221.00s]  Or whatever is in fact, this would be a good time.
[2221.00s -> 2225.00s]  Is there a motion to put on the on the floor?
[2225.00s -> 2227.00s]  Did you have something you want to add?
[2227.00s -> 2228.00s]  Oh, Mary.
[2228.00s -> 2230.00s]  I don't know if it's Glasgow had a chance for rebuttal.
[2230.00s -> 2231.00s]  Okay.
[2231.00s -> 2232.00s]  True.
[2232.00s -> 2234.00s]  Her for normal courses.
[2234.00s -> 2235.00s]  Okay.
[2235.00s -> 2242.00s]  This Glasgow.
[2242.00s -> 2245.00s]  Thank you for the for the rebuttal.
[2246.00s -> 2257.00s]  Mr. Joseph indicated that this is a pretax in order to prevent the easement holder from using the easement as intended.
[2257.00s -> 2258.00s]  That is not intended at all.
[2258.00s -> 2260.00s]  We recognize the easement.
[2260.00s -> 2267.00s]  We recognize the landscaping has been there and the monument to the subdivision have both been there since 2006.
[2268.00s -> 2277.00s]  So that is recognized and we do not intend to inhibit or prevent them from continuing to use that at all.
[2277.00s -> 2280.00s]  The zoning is appropriate back to context.
[2280.00s -> 2283.00s]  Imagine Austin comprehensive plan.
[2283.00s -> 2289.00s]  Meet provides the guidance as to where the zoning is appropriate.
[2289.00s -> 2296.00s]  Your staff has indicated that the planning principles regarding location of neighborhood commercial is appropriate here.
[2296.00s -> 2300.00s]  It's appropriate throughout the city where you have neighborhood commercial zoning.
[2300.00s -> 2307.00s]  And this particular property meets all your locational criteria for a neighborhood commercial.
[2307.00s -> 2309.00s]  If not here, where else?
[2309.00s -> 2317.00s]  And for most developers who build subdivisions or design subdivisions, and I do assist quite a few of them.
[2317.00s -> 2322.00s]  When they design subdivisions for their residents, they also set aside some land.
[2322.00s -> 2324.00s]  Although they are not commercial developers.
[2324.00s -> 2330.00s]  They do set aside some land for another entity to come and provide services for their residents.
[2330.00s -> 2337.00s]  So they don't have to drive too far out to get a gallon of milk, get some coffee, and other services.
[2337.00s -> 2345.00s]  So this particular property obviously, as you can see, was never purchased by the developer to provide services.
[2345.00s -> 2351.00s]  It is left over and the most appropriate use for it is some neighborhood related services.
[2351.00s -> 2358.00s]  And LRMUCO, the CO, whether with or without offense, I know there's a trip limitation of 2000 trips.
[2358.00s -> 2363.00s]  And the Zoning Commission also added a prohibited use, and those were all okay with us.
[2363.00s -> 2369.00s]  So I do urge you to at least approve the zoning as recommended by your staff.
[2369.00s -> 2375.00s]  And the Planning Commission, and they used Imagine Austin as a guidance and planning principles
[2375.00s -> 2382.00s]  that are used by the Zoning and Planning Commission and Planning Commission,
[2382.00s -> 2386.00s]  and your staff to guide them in making such recommendations.
[2386.00s -> 2387.00s]  Thank you very much.
[2387.00s -> 2390.00s]  Thank you, Ms. Voska.
[2390.00s -> 2392.00s]  You want to make a motion?
[2392.00s -> 2394.00s]  So now, Mayor.
[2394.00s -> 2405.00s]  The confusion is if the owner of the property in the green wants to put commercial use there,
[2405.00s -> 2407.00s]  you can't get in or out.
[2407.00s -> 2410.00s]  Nobody can get in or out because of the easement.
[2410.00s -> 2413.00s]  Is that the issue?
[2413.00s -> 2421.00s]  So just because property is zoned in a certain way doesn't mean that you can develop it that way.
[2421.00s -> 2425.00s]  In order to be able to develop a piece of property, you need several things.
[2425.00s -> 2427.00s]  You need the correct zoning.
[2427.00s -> 2431.00s]  You need access, among other things.
[2431.00s -> 2438.00s]  So we could give this person zoning for LRUs, and then they could continue their negotiations or conversations.
[2438.00s -> 2442.00s]  They could buy the easement, or they could negotiate something.
[2442.00s -> 2448.00s]  But before they could ever actually use it for that use, they would have to figure out some way or another to get access.
[2449.00s -> 2456.00s]  But they're still entitled to request that zoning, and we can either give it to them or not give it to them.
[2456.00s -> 2460.00s]  But just because we give it to them doesn't mean that they can necessarily build it.
[2460.00s -> 2470.00s]  My guess would be it sends these people back to the easement dispute that it's looking like they have.
[2470.00s -> 2474.00s]  So I would entertain a motion at this point.
[2474.00s -> 2479.00s]  Would anyone move to adopt LR, but drop the restriction on the fence?
[2479.00s -> 2481.00s]  Mr. Qasar moves that motion.
[2481.00s -> 2482.00s]  And I second it.
[2482.00s -> 2483.00s]  I'm misused in seconds.
[2483.00s -> 2484.00s]  I'm sorry.
[2484.00s -> 2485.00s]  First reading only.
[2485.00s -> 2486.00s]  On first reading.
[2486.00s -> 2489.00s]  And to close public debate.
[2489.00s -> 2490.00s]  I move.
[2490.00s -> 2493.00s]  All those things and misuses and accepts those.
[2493.00s -> 2498.00s]  First reading, adopting the LR recommendation without the conditional use and closing public debate.
[2498.00s -> 2500.00s]  Any discussion?
[2500.00s -> 2501.00s]  Ms. Toba.
[2502.00s -> 2506.00s]  I guess I'd like to hear the rationale for dropping the conditional overlay.
[2506.00s -> 2509.00s]  That was recommended by Planning Commission.
[2509.00s -> 2510.00s]  Correct.
[2510.00s -> 2515.00s]  I would recommend to drop it because I don't think it's an appropriate thing for us to be doing at this bias.
[2515.00s -> 2520.00s]  We have a property owner who specifically went out and purchased the right to build that fence.
[2520.00s -> 2530.00s]  And I don't know how from a zoning standpoint we would entertain to interject ourselves in that contract.
[2530.00s -> 2532.00s]  And further I have a question.
[2532.00s -> 2534.00s]  And I don't know whether this is a question for legal.
[2534.00s -> 2535.00s]  Just real quick.
[2535.00s -> 2540.00s]  If we passed the conditional overlay and the fence was already built.
[2540.00s -> 2544.00s]  If we passed the conditional overlay at this point, the fence is grandfather.
[2544.00s -> 2545.00s]  Correct.
[2545.00s -> 2548.00s]  So even if we passed as the fence doesn't come down.
[2548.00s -> 2551.00s]  So they're still involved in that.
[2551.00s -> 2555.00s]  It becomes a legally nonconforming use at that point.
[2555.00s -> 2556.00s]  I understand that.
[2557.00s -> 2562.00s]  I understand a lot of the conversation that we've had surrounding the fence and whether it's our place to weigh in on that.
[2562.00s -> 2564.00s]  I'm really just trying to clarify.
[2564.00s -> 2567.00s]  The Planning Commission included that the maker of the motion.
[2567.00s -> 2571.00s]  I was trying to figure out if the maker of the motion stripped that out.
[2571.00s -> 2574.00s]  Or may or whether you were making that as a friendly amendment.
[2574.00s -> 2578.00s]  Where and how that got the conditional overlay got stripped out.
[2578.00s -> 2581.00s]  It was in the motion that Mr. Casar made.
[2581.00s -> 2583.00s]  Okay. Thank you for that clarification.
[2583.00s -> 2584.00s]  Ms. Poole.
[2585.00s -> 2591.00s]  I'd like to understand if when the easement was granted.
[2591.00s -> 2599.00s]  I think I heard Ms. Glasgow say that the person who purchased the land after the easement had been granted.
[2599.00s -> 2604.00s]  There was an understanding, a verbal understanding that there would not be a fence in that area.
[2615.00s -> 2617.00s]  And this is why I think it should be handled in court.
[2617.00s -> 2619.00s]  Excuses. We're having a side.
[2619.00s -> 2621.00s]  John thinks he knows what I'm going to say.
[2621.00s -> 2626.00s]  So the answer, minor correction on that.
[2626.00s -> 2628.00s]  No, it was his thing.
[2628.00s -> 2630.00s]  He did not have a dialogue with him.
[2630.00s -> 2632.00s]  It was just he's in reading it.
[2632.00s -> 2634.00s]  His own assumption.
[2634.00s -> 2636.00s]  He did not have a dialogue with us.
[2636.00s -> 2640.00s]  In reading it he just sort of surely they will be reasonable people.
[2640.00s -> 2643.00s]  And therefore it shouldn't be a problem.
[2643.00s -> 2652.00s]  I don't know what the understanding was of the previous owner who granted the landscaping easement on what that person's understanding was.
[2652.00s -> 2661.00s]  My client is here and he spoke to him and he does not recall what really happened.
[2661.00s -> 2663.00s]  So that's the recollection.
[2663.00s -> 2664.00s]  Okay.
[2664.00s -> 2666.00s]  Thank you.
[2666.00s -> 2667.00s]  Mr. Joseph.
[2668.00s -> 2677.00s]  My client acquired this in 2006, April 13, 2006 from the owner of the property at the time with the specific understanding that it was going to be there.
[2677.00s -> 2682.00s]  We're going to be able to use that as their entry for their subdivision for the purposes of landscaping and fencing.
[2682.00s -> 2684.00s]  And that's exactly what they did.
[2684.00s -> 2689.00s]  And they paid consideration for that at the same time that they bought section one of the subdivision.
[2689.00s -> 2693.00s]  And would that terminology landscaping and fencing actually be in one of the documents?
[2693.00s -> 2694.00s]  It's already in it.
[2694.00s -> 2695.00s]  Yes, ma'am.
[2696.00s -> 2705.00s]  It's part of the record that you have the backup and it's part of the power points that I gave you and it's highlighted in yellow for the purposes of this discussion.
[2705.00s -> 2707.00s]  Because that seems to be the crux.
[2707.00s -> 2708.00s]  It's very clear.
[2708.00s -> 2710.00s]  It's abundantly clear in the record.
[2710.00s -> 2711.00s]  Thank you.
[2711.00s -> 2712.00s]  Yes, ma'am.
[2712.00s -> 2714.00s]  Any further discussion?
[2714.00s -> 2721.00s]  Motion is to approve the zoning without the conditional overlay on first reading only all in favor, please raise your hand.
[2722.00s -> 2723.00s]  And close public hearing.
[2723.00s -> 2725.00s]  All in favor, please raise your hand.
[2725.00s -> 2726.00s]  Mayor.
[2726.00s -> 2727.00s]  Can I ask one question?
[2727.00s -> 2728.00s]  Yes.
[2728.00s -> 2729.00s]  Sorry.
[2729.00s -> 2738.00s]  There was a conditional overlay in addition, I believe, on this property that had a limitation on 2000 trips.
[2738.00s -> 2739.00s]  And also...
[2743.00s -> 2748.00s]  My understanding is that Mr. Qasar's motion only strips out of the conditional overlay requirement for offense.
[2748.00s -> 2749.00s]  Very good.
[2749.00s -> 2750.00s]  Thank you.
[2750.00s -> 2751.00s]  I'm not sure that's clear for the record.
[2751.00s -> 2753.00s]  Is that the understanding at the diocese?
[2753.00s -> 2754.00s]  Sorry.
[2754.00s -> 2760.00s]  It strips the conditional overlay that makes it so that offenses not allowed.
[2760.00s -> 2761.00s]  Not allowed.
[2761.00s -> 2762.00s]  Correct.
[2762.00s -> 2765.00s]  Otherwise, it's the recommendation that comes from the Planning Commission.
[2765.00s -> 2768.00s]  All in favor, please raise your hand.
[2768.00s -> 2770.00s]  Those opposed.
[2770.00s -> 2771.00s]  Passes unanimously.
