Zoning Case: C14-2011-0122
Meeting Date: 2011-12-08T00:00:00.000
Agenda Item: 124
Source URL: http://austintx.swagit.com/play/44938/0/
================================================================================

[0.00s -> 3.00s]  Okay 124
[1879.80s -> 1886.00s]  I didn't focus on it, but I also do have and would be happy to leave with you the middle school
[1886.40s -> 1890.64s]  Data as well. It's not quite as dramatic. Okay, James Burns
[1892.72s -> 1898.60s]  And donating time to James is Deborah Thompson. She's here and
[1899.64s -> 1901.64s]  Criola Burns
[1902.28s -> 1905.08s]  Here so you have up to nine minutes
[1905.56s -> 1911.64s]  Good evening, Mayor Mayor Pro Tem and members of the council. My name is James Burns, and I'm a homeowner in the
[1912.20s -> 1917.96s]  will-around subdivision of the Wells Branch and I'm I'm also opposed to this and
[1918.60s -> 1920.60s]  one of the biggest reasons
[1921.24s -> 1924.68s]  For my opposition is there's a concern for safety
[1925.88s -> 1928.20s]  Alan if you could go to number two
[1929.04s -> 1931.04s]  Yes
[1931.80s -> 1933.80s]  The frontage Road
[1934.44s -> 1936.44s]  FM 1325 is a
[1938.12s -> 1940.96s]  Is a step below a high-speed roadway and
[1941.88s -> 1945.84s]  This is what you would see as you're walking out
[1946.28s -> 1952.36s]  On to that property that is at FM 1325 you can see there is no road shoulder
[1953.40s -> 1955.40s]  It is zoned for
[1955.96s -> 1962.28s]  Bicycle but most of the area for a bicycle. There is a white stripe and dirt
[1962.44s -> 1969.00s]  There's there is nothing to even ride a bike on and as you would come out of this you would head
[1969.84s -> 1977.60s]  Towards the front of this picture towards Shoreline Drive for the kids who would be walking to Wells Branch Elementary School
[1977.60s -> 1979.60s]  I know that
[1980.20s -> 1981.72s]  the
[1981.72s -> 1989.80s]  The the builder developer the owner they have suggested that they would negotiate with the homeowners to have a walk through
[1989.80s -> 1991.80s]  But we certainly cannot
[1992.76s -> 1999.92s]  Think at this point that that that would happen what we do know is FM 1325 is 50 miles an hour plus
[2001.44s -> 2007.26s]  Coming out of that walking back towards the to the school. There is no bus service to the school
[2008.88s -> 2012.72s]  Whether that's through the school district or through capital Metro
[2013.76s -> 2019.24s]  The apartment complex directly across the street would also cause
[2020.08s -> 2022.08s]  There's no middle lane. So
[2022.76s -> 2024.76s]  Both directions
[2025.00s -> 2030.44s]  Would be there. There's no middle lane to merge. So you certainly could not get
[2031.80s -> 2033.80s]  The competing traffic
[2034.00s -> 2042.76s]  Would would have a tremendous potential for for accidents head-on accidents right there at the property as you come a little
[2043.00s -> 2048.76s]  Towards a little further this way if the picture were extended you would be at the stoplight there it
[2049.40s -> 2051.40s]  at Shoreline and
[2051.40s -> 2054.60s]  As has been stated it is a very high-speed road
[2055.20s -> 2060.12s]  If you take a look in that picture you can see how many people
[2060.76s -> 2063.60s]  Don't necessarily stay on the roadway
[2064.28s -> 2067.68s]  They're actually driving on the grass
[2068.20s -> 2073.92s]  Which is where people walking would that's where they would be walking or riding their bicycle
[2075.36s -> 2077.36s]  So with that respect
[2078.08s -> 2085.08s]  It's just unsafe. It would just be unsafe to to think that this could be a development
[2086.72s -> 2090.76s]  For that would have a height occupancy of children going to school
[2090.76s -> 2097.68s]  I understand that the the property owner and the builder would put an access
[2098.64s -> 2100.08s]  therefore
[2100.08s -> 2101.48s]  for
[2101.48s -> 2103.52s]  buses school buses or capital Metro
[2104.28s -> 2105.88s]  that
[2106.04s -> 2112.40s]  That's something that they would do that would be great, but there is no sidewalk and for much of the walk
[2112.72s -> 2120.00s]  There is no sidewalk. It looks worse than that on the other side of Shoreline. It is extremely narrow
[2120.88s -> 2128.12s]  Six inches in some places for a bike or for pedestrian traffic and there's also a ditch
[2129.16s -> 2133.32s]  For rain runoff. So it's just not
[2133.80s -> 2136.84s]  It's just not conducive to a pedestrian traffic
[2142.08s -> 2148.52s]  So one of the statements I had here and it's sad to say but there there was a fatality there
[2148.88s -> 2151.20s]  And that's how we got the light at Shoreline
[2151.36s -> 2156.52s]  But walking to the Wells Branch Elementary School along the unpaid and unsafe FM
[2157.28s -> 2160.12s]  1325 is just an accident waiting to happen
[2160.80s -> 2167.80s]  Now I do understand that this this owner has a right to develop their property
[2170.28s -> 2175.36s]  But part of the smart building includes public transportation I
[2177.72s -> 2179.72s]  Reviewed capital metros
[2180.16s -> 2182.16s]  They call it their 2020
[2183.68s -> 2189.76s]  Plan and in their 2020 plan on page five of the zoning change review
[2190.12s -> 2195.72s]  It refers to their their plan for capital Metro service on FM 1325
[2196.24s -> 2199.30s]  The capital Metro route the route number is
[2199.92s -> 2204.88s]  243 is no longer available along FM 1325
[2210.32s -> 2214.00s]  The segment north of Wells Branch would no longer be served as
[2214.68s -> 2219.08s]  Ridership is very low that's that is wording from capital Metro
[2220.12s -> 2222.12s]  The closest bus stop
[2222.64s -> 2228.76s]  If you take a look at the the picture there the the little star at the top is where the property is
[2229.24s -> 2232.40s]  the line the dotted line is a
[2233.92s -> 2235.92s]  portion of the
[2235.92s -> 2237.92s]  existing to be eliminated
[2239.16s -> 2241.16s]  Route for
[2241.16s -> 2246.52s]  243 the solid black line at the bottom is the proposed route
[2246.52s -> 2254.40s]  343 so when 243 dies and it and it is it's they they don't run it very much at all
[2254.40s -> 2256.20s]  It will be route
[2256.20s -> 2259.52s]  343 which is the line that goes along Wells Branch Parkway
[2259.80s -> 2265.64s]  It it is right about two miles from the property not one mile
[2265.64s -> 2273.96s]  It's it's right about two miles and most of that two miles is unpaved and it looks as I said worse than the picture that I showed you before
[2274.96s -> 2284.44s]  Capital Metro studied the service routes issue for several years before they made the decision of the recommendation to discontinue the service
[2284.44s -> 2292.52s]  In their service plan 2020 they included a multi-step community involvement plan to engage the public
[2292.72s -> 2300.72s]  The final recommendations that affected our area was to consolidate several routes into a cross-town route
[2301.68s -> 2305.40s]  to delete service where there is low ridership and
[2306.00s -> 2313.20s]  To adjust commuter service commensurate with demand once the red line begins. So there's some of their proposals
[2314.84s -> 2317.90s]  This route had such
[2319.08s -> 2322.40s]  Their proposed service was around 30
[2323.12s -> 2329.76s]  Member or 30 riders per hour their average was below in some cases eight
[2331.08s -> 2335.60s]  But it was at at the height the high average was 19
[2336.44s -> 2341.52s]  This additional complex is not going to increase that ridership per hour
[2342.32s -> 2347.52s]  To where it would be conducive for capital Metro to come back out there one of the
[2348.12s -> 2352.60s]  Considerations capital Metro had was they needed to find an additional
[2353.64s -> 2359.76s]  17,000 platform hours to be budget neutral so their reduction was
[2361.04s -> 2371.08s]  Route two forty three among others, but route two forty three itself was nine thousand platform hours of reduction. So to bring
[2372.36s -> 2378.12s]  Route two forty three back and extend it even further than they ever went in
[2379.44s -> 2385.58s]  FM 1325 is certainly something that capital Metro is does not have in their plans and that
[2385.96s -> 2388.68s]  Those plans go through 2014
[2391.72s -> 2393.00s]  I
[2393.00s -> 2396.48s]  Understand the property owners desire to develop their property
[2397.32s -> 2405.20s]  We certainly look for the opportunity to to meet with the property owners. We have some suggestions for the property
[2405.20s -> 2406.68s]  We have some
[2406.68s -> 2412.24s]  Suggestions of what they could do that would make it work for the community
[2412.60s -> 2420.20s]  But the one thing we don't want to do and we're not going to stand by and allow this to to happen is to create a property
[2420.20s -> 2422.20s]  That is just unsafe I
[2423.92s -> 2425.92s]  Remember as a kid
[2426.24s -> 2432.56s]  There was a standing joke, you know if there was something wrong with you or what your families people someone say to you something like
[2432.56s -> 2439.56s]  What do you did you grow up under a power line or something? Well now here this development is going to put?
[2441.08s -> 2446.64s]  These apartment complexes right under power lines or within a close proximity
[2447.64s -> 2451.44s]  So thank you for your time. Thank you, Mr. Burns. If there are any questions
[2453.28s -> 2455.76s]  Next speaker is Richard Swain
[2457.64s -> 2459.64s]  Richard Swain
[2459.88s -> 2461.88s]  apparently not here and
[2462.64s -> 2464.64s]  We also had
[2464.80s -> 2469.36s]  Send it for or not wishing to speak Randall Owen and Eric Oland
[2470.16s -> 2474.08s]  those are all the speakers that we have signed up for his public hearing and
[2474.20s -> 2478.48s]  And three minutes rebuttal time to the applicant
[2484.32s -> 2487.40s]  Thank you, Mayor two quick comments, I
[2488.16s -> 2492.36s]  Don't know what the discrepancy is in that report that the speaker
[2493.20s -> 2496.40s]  Presented from AISD. I'm sorry round rock ISD
[2496.40s -> 2502.24s]  But the data that they gave to us which is dated 1115
[2503.24s -> 2510.80s]  States that Wells Branch Elementary has 722 students not the 907. I think it said on that data
[2511.84s -> 2517.36s]  And so you know this is the data that's been collected in their latest review process
[2517.36s -> 2526.08s]  And so I'm not sure what that discrepancy is and their projection actually for population at that school was 910 students
[2526.08s -> 2528.08s]  and so that
[2529.04s -> 2534.48s]  Implies to me that there is actually quite a bit of capacity more than I thought there even was
[2535.40s -> 2537.80s]  Because they are far below the projection
[2537.80s -> 2540.96s]  So I'm not sure what the discrepancy is in that information
[2540.96s -> 2546.00s]  But I suspect that may be the information that's being posted on their website is is outdated
[2547.28s -> 2551.48s]  the other issue that I just wanted to speak to quickly is
[2552.20s -> 2554.20s]  the issue of the power line and
[2554.48s -> 2558.24s]  In talking about the power line issue with the neighborhood it just
[2559.00s -> 2563.08s]  You know, we have power lines all over town. Unfortunately, not all of them are buried
[2563.96s -> 2567.32s]  We cannot build in the easement. We won't be building in the easement
[2567.48s -> 2572.92s]  But the neighborhood suggestion that we build single family on the property doesn't address that issue
[2572.92s -> 2577.88s]  I mean if they're concerned about people being near power lines their
[2578.68s -> 2581.44s]  Suggestion that single family be built there in my opinion might be
[2582.04s -> 2586.56s]  Just as bad and council members. I think that that's all I have. I think Jim Bennett
[2586.56s -> 2588.56s]  Maybe wanted to say do you want to say something?
[2590.80s -> 2595.00s]  I think council member tovo has a question for you. Yes, I do
[2595.92s -> 2597.36s]  so I'm
[2597.36s -> 2600.32s]  I'm now having trouble pulling up the information from
[2601.84s -> 2604.24s]  from the school website, but
[2604.68s -> 2610.16s]  But it did seem to I think that the information you've got from November 15th
[2611.00s -> 2612.60s]  2011 I
[2612.60s -> 2615.32s]  Think can you remind me what you said the maximum?
[2615.32s -> 2619.60s]  I mean the current enrollment is seven hundred and twenty two students
[2619.60s -> 2625.32s]  I think the way they've broken it down is that's the I think Wells Branch must break down their different programs
[2625.32s -> 2628.04s]  So it's seven twenty two plus Wells Branch
[2628.64s -> 2635.20s]  ESOL plus which is at seventy four students and Wells Branch bilingual, which is at a hundred
[2635.20s -> 2640.04s]  It looks to me as if they do have eight hundred ninety six students and that's consistent
[2640.16s -> 2642.44s]  With the chart that they have on their main
[2643.40s -> 2648.00s]  Web page if you go to the main web page for Wells Branch Elementary and click on current enrollment
[2648.00s -> 2652.64s]  It has the enrollment and the capacity numbers and those seem to drive with the figures that we were given
[2652.64s -> 2658.52s]  And they do suggest that the school is over enrolled there. So I'm I'm not clear on why round rock
[2659.16s -> 2662.16s]  I ST doesn't regard that school as over enrolled, but it
[2662.56s -> 2668.68s]  Yeah, and they that's I mean they were really that they do not they consider it under enrolled I
[2669.68s -> 2677.20s]  You know, I think again this speaks to the need for a process that really collects information from the school district
[2677.48s -> 2684.48s]  Collects information from the developer, but then involves a conversation between the school district and our city staff to get clear on what the numbers are
[2684.92s -> 2686.92s]  what the current capacity is and
[2687.80s -> 2689.80s]  So that we can really have a very
[2690.36s -> 2693.84s]  Good assessment here of how those schools are going to be impacted
[2693.84s -> 2696.64s]  I wanted to ask you a little bit, you know, again, though
[2696.64s -> 2701.20s]  I would say I think the important thing is that this information is communicated back to the school district
[2701.20s -> 2708.04s]  So that if this project is approved that we have that round rock is put on notice that that this project may generate
[2708.56s -> 2710.56s]  additional students
[2710.56s -> 2713.24s]  Though, I think it should also factor into our decision-making
[2714.68s -> 2719.00s]  In these cases as well in looking at your bedroom count I
[2719.00s -> 2723.96s]  Think that I understand the information you've provided
[2724.72s -> 2731.28s]  That a hundred and eighty two about a hundred and eighty two units are two bedrooms and more two bedrooms or three bedrooms
[2731.40s -> 2735.88s]  that you've got about 72 units that are going to be three bedrooms or more and
[2736.36s -> 2741.84s]  If you look at the two bedrooms and the three bedroom units were at about a hundred and eighty two of that two forty three
[2741.84s -> 2744.68s]  So I wonder if you could walk us through how you got from
[2745.48s -> 2747.48s]  that figure
[2747.48s -> 2753.40s]  to the projection that it would only generate 40 school-age children it I would guess that
[2753.72s -> 2756.76s]  Most of the three bedrooms will probably be geared toward families
[2757.88s -> 2764.52s]  And so that that number seems a little low. Yeah, and we in my discussion with Atlantic was is there a formula
[2764.52s -> 2769.24s]  Do you calculate the number of bedrooms and or I think in Austin's EIS?
[2769.24s -> 2773.76s]  They look at the price of the unit to factor in how many students?
[2773.76s -> 2778.84s]  There will be in their experience and as a and as I said, they've done lots of these projects of all sorts
[2778.96s -> 2787.32s]  There is not a formula that you can really use and so they looked at data in other projects that they have
[2788.04s -> 2792.24s]  with a similar number of units or even some with a different number of units and
[2793.48s -> 2798.36s]  amortized it out to make it such that it would be a project similar to this in size and
[2799.12s -> 2804.72s]  Around 40 students is what they projected just based on experience and based on their other projects
[2804.72s -> 2808.92s]  This would would would be a likely number of students again
[2808.92s -> 2813.00s]  They do not think that there really is a scientific formula for instance
[2813.00s -> 2818.60s]  the example that they gave me is that you may have a two-bedroom unit and that might be
[2819.16s -> 2825.40s]  Parents and you they may be using one of the bedrooms for another use the home office or you know
[2825.40s -> 2831.72s]  Whatever it might be and so they in their experience don't think it necessarily means because you've got an extra bedroom that
[2831.72s -> 2838.72s]  There's a child in that bedroom. I understand that but I guess I'm especially looking at the three bedroom units and we've got 72 of them
[2838.72s -> 2840.72s]  so it's
[2840.72s -> 2844.84s]  You know again if you look at the 180 units that are gonna be two bedrooms or more
[2844.84s -> 2846.32s]  We're basically saying
[2846.32s -> 2853.16s]  About only about a fourth of those are gonna have children and it just it doesn't and those of those they're only gonna have one one child
[2853.16s -> 2857.16s]  It just doesn't it. It seems like an extremely low number and I agree that there is no
[2857.76s -> 2860.32s]  Exact formula though. I think the demographers have some
[2860.64s -> 2867.04s]  You know are able to apply some formula based on the price point and and since this is you know a hundred percent affordable
[2867.68s -> 2868.68s]  development
[2868.68s -> 2872.16s]  The chances are likely or I would think that you're gonna get families in there
[2872.64s -> 2875.16s]  And I actually think they don't necessarily agree
[2875.16s -> 2881.52s]  But Michael when it's here who's done a lot of these projects who walked through their
[2881.68s -> 2887.00s]  Process of how they would sort of estimate a number of students. So he may you may want him to address that. Thanks
[2890.72s -> 2898.00s]  This actually came off of a project we have south of town here and to our surprise it was
[2898.64s -> 2907.68s]  Very low number of children. We have three units there about a hundred and fifty plus or two units two bedrooms
[2907.68s -> 2914.92s]  And we had very few number of kids. So it's in exact science. And so I can't say for sure that you know
[2916.16s -> 2919.80s]  It's absolutely it's 40 or it's absolutely 50 or 60
[2919.80s -> 2924.40s]  So it's it was what you asked when when Nikhil asked when estimate
[2924.40s -> 2930.12s]  We we kind of based it off of a project that we have here in town and that project so that I'm clear on the details
[2930.12s -> 2936.44s]  It was about a 300 unit right development and about a hundred and fifty of them were two-bedroom were any three-bedroom, right?
[2937.68s -> 2943.88s]  We have very few three bedrooms. Yeah, so this would be comparable then to the two-bedroom portion of this development
[2943.88s -> 2949.88s]  But it's it's not comparable in terms of the three-bedroom component, which is significant sure sure but like I said
[2949.88s -> 2955.28s]  It's it's in exact. So we we kind of had to base on what we know. Okay, thank you
[2958.08s -> 2960.08s]  Okay
[2960.28s -> 2967.60s]  Any more questions council member spellin how are you proposed Nikhil to deal with the power lines you get this great big
[2967.60s -> 2973.44s]  Easement right in the middle of the property. How are you gonna build out the units? And they're actually council member spellman or two easements
[2974.08s -> 2978.32s]  The graphic that the neighborhood showed is actually not accurate if you can bring up my
[2979.32s -> 2981.16s]  PowerPoint again
[2981.16s -> 2988.96s]  This is just a conceptual site layout of how the site would be laid out and actually this is when we were proposing MF3 at
[2989.76s -> 2991.76s]  270 units
[2992.04s -> 2995.28s]  But just to sort of show how it would be laid out if you see there
[2995.28s -> 2998.08s]  They're actually two separate power line easements
[2998.08s -> 3007.12s]  I think they showed that as one easement that swap across you know from one side of the one easement to the other and so that would be
[3007.24s -> 3013.84s]  You know how just conceptually how those units and those buildings could be laid out to avoid the power lines
[3013.84s -> 3017.28s]  And they're we cannot build in the power line easements. I mean as you guys know
[3017.60s -> 3024.80s]  Sure, so how how tall are the units themselves going to be these are three stories three stories. Yes, okay, so that'd be about 45 feet
[3025.28s -> 3027.28s]  Probably more like thirty five
[3030.96s -> 3037.24s]  Thirty feet thirty six thirty six feet, okay, so you have 36 feet. How high are the power lines themselves?
[3039.00s -> 3041.00s]  Quite high
[3043.84s -> 3051.36s]  Well, let me let me cut to the chase how you'd discuss this with which fire department provides fire service Austin
[3051.36s -> 3055.80s]  Okay, we'll be Austin. Yeah, you talk to the fire service fire department about that. It's a Jim Bennett question
[3060.92s -> 3067.76s]  We have some awesome energy folks in the back probably tell you how I that's actually yeah, I'll had those towers are
[3070.92s -> 3072.92s]  They were trying to be client
[3073.44s -> 3077.12s]  When I got a feeling they're higher than 36 feet
[3078.12s -> 3080.68s]  Mayor Fries with Austin energy and mayor council
[3080.68s -> 3083.36s]  I'm sorry mayor actually I can't tell you how high it is
[3083.36s -> 3091.04s]  But I can say that there's no doubt that there are permitting requirements that look at the radial requirements and the distances from the lines
[3091.36s -> 3093.36s]  to construction
[3093.36s -> 3101.88s]  Okay, and can we be sure in advance that the conceptual plan that is made is put up on the other board is going to be consistent with those
[3102.12s -> 3103.36s]  requirements
[3103.40s -> 3107.16s]  That conceptual plan I saw there is not a 3d version so
[3108.28s -> 3114.56s]  No, I'm that that right there won't ensure that it's not and that it's in compliance
[3114.56s -> 3116.76s]  Well, I've been in your experience
[3116.76s -> 3123.12s]  Have you seen a plan that looks like this that actually fits in between power lines of this close to power lines right next to an easement before?
[3125.92s -> 3130.58s]  I have not myself but our permitting staff, I'm sure have
[3131.26s -> 3133.42s]  We're us energy harsh power coming up
[3134.46s -> 3139.66s]  Awesome energy legal services. I don't claim to be an expert on this but I can tell my experience that we have certainly
[3140.18s -> 3146.38s]  Encountered buildings and houses that are really quite close up to the easement. Okay, so it yes
[3146.38s -> 3152.38s]  It doesn't I can't speak to this particular configuration, but I can say that that doesn't strike me as being
[3153.66s -> 3155.66s]  unusual
[3155.70s -> 3161.18s]  Not unusual well, I've never seen that many or or in between two power lines
[3161.18s -> 3165.74s]  But I can say that I have seen buildings that are there they're quite up to the right up. Yeah, yeah
[3167.42s -> 3172.82s]  Councilmember Spelman one just example that comes to mind off the top of my head is the Milago condominiums
[3172.82s -> 3177.86s]  It's a hundred and twenty feet and it's directly adjacent to some pretty intense power lines
[3178.18s -> 3183.34s]  Probably about the same size as these and so that's out on rainy street right by the
[3183.94s -> 3190.78s]  Mexican-American cultural center, and so it you really see it pretty frequently around town
[3191.78s -> 3194.98s]  Councilmember has to go through the side plan review process as well
[3195.42s -> 3199.94s]  All of those things including Austin energy and fire will be reviewing the side plan
[3200.14s -> 3205.30s]  Okay, sure code compliance so if there if there's an issue the fire department will pick it up before you get a chance to build it
[3205.30s -> 3207.30s]  Okay
[3210.58s -> 3217.02s]  Three questions one else where we're writing just one question Nicole we had a case within the past year so involving it
[3217.54s -> 3222.78s]  affordable opposed affordable housing project near I 35 and Old Torf and
[3223.14s -> 3225.90s]  The the applicant in that case foundation communities
[3226.58s -> 3230.14s]  Actually agreed to install sidewalks
[3231.14s -> 3235.34s]  Offside to provide access for the residents to get to nearby bus stops
[3236.22s -> 3238.82s]  Has has your client considered?
[3239.78s -> 3243.38s]  Providing sidewalks offside in in comparable cases
[3245.06s -> 3247.62s]  I I will let Michael speak to that
[3247.62s -> 3255.62s]  But I will say councilmember the sidewalk grid is so deficient in this area that it would be so much sidewalk being added that
[3256.02s -> 3258.02s]  That's probably not
[3258.42s -> 3262.06s]  Realistic and I will note that if you if you provided a sidewalk
[3262.38s -> 3268.58s]  Point six miles down Burnett Road that that you could connect with the existing sidewalks that would provide access all the way to
[3268.94s -> 3275.82s]  The Howard station and the problem we would run into would be that wells branch does not have any right-of-way there
[3275.82s -> 3280.58s]  So we would have to try to negotiate those easements with the adjacent property. I'm not that it couldn't be done
[3280.58s -> 3283.30s]  I just think it might be true. It would be no doubt it would be difficult
[3283.82s -> 3285.82s]  We definitely have talked about
[3285.82s -> 3289.34s]  That would be the challenge. We're not talking about huge distances though
[3289.34s -> 3295.02s]  We're talking about fair fairly manageable distances. It's just a matter of dealing with the jurisdictions sure sure
[3295.02s -> 3299.46s]  We're very much in favor of sidewalks and accessibility and you know pedestrian friendly
[3300.94s -> 3302.18s]  Walkways
[3302.18s -> 3305.46s]  But the count is right when you go over
[3306.34s -> 3308.34s]  private properties that
[3308.34s -> 3315.22s]  To be negotiated, so it's hard for we're not I don't think the problem is private properties because we're talking about existing right right away
[3315.22s -> 3319.70s]  You're doing it is a matter of dealing with it with the jurisdictions though. Okay, okay, so yeah
[3319.70s -> 3324.58s]  And I actually think though that they there is not additional right-of-way that's been acquired there
[3325.38s -> 3328.30s]  And you know not to say that wells branch couldn't
[3329.46s -> 3333.90s]  Take some right-of-way or text dot so it's definitely something I think we would look into
[3333.90s -> 3340.98s]  I just think it could be prohibitively expensive if we if we had to go out and require that right away or negotiate easements for that
[3342.98s -> 3348.22s]  Mayor I had a brief question I had a brief question for Austin energy. Where did they go?
[3350.22s -> 3352.22s]  Go here
[3352.22s -> 3354.06s]  I know
[3354.06s -> 3356.06s]  We have been told in the past about
[3356.94s -> 3360.74s]  Bearing power lines and given some cost estimates and
[3361.46s -> 3367.66s]  But do you have any idea of what it would take to bury this line in terms of cost?
[3367.66s -> 3374.02s]  Well the problem is with with transmission lines. You're really talking just orders of magnitude in cost
[3374.02s -> 3377.48s]  I think there's only one situation where we buried
[3378.70s -> 3380.94s]  transmission lines and that is out at the
[3381.66s -> 3383.10s]  130
[3383.10s -> 3386.50s]  71 interchange, I believe we had to bury some lines out there
[3386.50s -> 3389.86s]  I couldn't give you the cost figures, but it's it's a lot of money
[3390.78s -> 3395.46s]  These these lines put out a significant amount of heat so the kind of what's have to be
[3395.94s -> 3399.76s]  Quite large you have to use insulated insulated wire
[3400.30s -> 3404.02s]  But we could give you those figures, but I just I don't have them off the top of my head now
[3404.02s -> 3410.62s]  But that's that gives a good estimate. I will say that I was particularly appreciative of council member Tovos
[3411.10s -> 3412.78s]  questions about
[3412.78s -> 3419.94s]  The impact on the school district and I know that we have finally gotten around to having that between the city of Austin and
[3419.94s -> 3425.84s]  AISD an actual impact statement, but I guess we're not there with round rock. Is that correct?
[3428.10s -> 3430.86s]  Thank you, that's correct. There's no
[3431.54s -> 3432.82s]  Process
[3432.82s -> 3437.74s]  If you build to a certain number of units in a certain zoning or you're proposing that zoning in
[3438.38s -> 3439.42s]  Austin
[3439.42s -> 3440.42s]  ISD's
[3440.42s -> 3446.10s]  Jurisdiction you're required to do that statement there is no similar and you're required to do that statement at the time
[3446.10s -> 3450.06s]  You're basically submitting that information at the time you file your zoning application
[3450.18s -> 3456.94s]  That is not the case with the other school districts that cover Austin and so it becomes it's not difficult to do
[3456.94s -> 3459.82s]  It just becomes a more in informal process
[3461.34s -> 3464.06s]  Well, but I will say I think the school districts
[3464.74s -> 3471.86s]  Appreciate the effort of trying to talk to them and sort of alert them to the fact that there's a proposed development
[3471.86s -> 3476.56s]  So I don't know why they wouldn't, you know, want to have that similar process
[3477.90s -> 3482.56s]  Well, I certainly appreciate the concerns expressed by the neighbors and know that
[3483.14s -> 3484.62s]  hardly any
[3484.62s -> 3486.62s]  neighborhood or residential
[3486.82s -> 3490.74s]  Development would like to have a power line in their area
[3491.02s -> 3495.70s]  But it's one of the things that we have just come to have to live with with
[3496.54s -> 3502.26s]  Development, so I'm going to go ahead and move approval of the staff and Planning Commission recommendation
[3503.46s -> 3509.06s]  There's a motion by Mayor Pro Tem Cole to close the public hearing and improve on all three readings
[3510.10s -> 3512.10s]  That correct in second
[3512.58s -> 3514.58s]  Councilmember Spelman
[3515.38s -> 3519.42s]  I don't think it should be the Zoning and Planning Commission recommendation
[3525.94s -> 3527.94s]  Is there any further discussion?
[3529.46s -> 3534.66s]  I would very much like to be able to support this project. We obviously need more affordable housing in Austin
[3535.30s -> 3539.22s]  But I'm afraid I just that under the current conditions as discussed tonight
[3539.22s -> 3543.70s]  I just can't bring myself to do it. This this site is
[3545.06s -> 3549.06s]  Is we'll leave the residents in this complex?
[3549.98s -> 3552.46s]  Stranded unless they get in the car and drive
[3552.62s -> 3558.74s]  And we've talked about the numbers of kids that would be growing up in this in this complex and then you can argue about how many
[3558.74s -> 3563.50s]  It would be clearly it would be dozens, but imagine what their daily lives will be like they will be stuck there
[3563.50s -> 3568.90s]  They cannot they were they'll be living on a road that is 55 miles per hour with no sidewalk no shoulder
[3568.90s -> 3573.30s]  So they're going to be walking in 55 mile an hour traffic if they want to go anywhere
[3573.82s -> 3576.30s]  with unless they get into a car and drive somewhere and
[3576.82s -> 3583.98s]  And I you know this clearly would not be considered smart housing as the city defines it because it lacks the T that
[3584.46s -> 3586.46s]  with a connection to transit
[3586.70s -> 3590.54s]  And I'm frankly sorry to see tax credit dollars
[3591.38s -> 3593.90s]  being devoted to a project like this that will leave
[3595.90s -> 3599.26s]  residents in affordable housing completely stranded unless they're
[3599.82s -> 3600.78s]  willing to
[3600.78s -> 3602.70s]  Enable tank or the expense of an automobile
[3602.70s -> 3609.18s]  I just think it's poor policy to put it not meet the city would not consider it smart housing and I don't consider it smart housing
[3609.18s -> 3613.38s]  And I don't consider it a smart reasoning to do the reason on the property for this purpose
[3615.82s -> 3620.50s]  Well, I'll just say that I will be supporting emotion and I realize the T
[3621.06s -> 3624.42s]  efficiency but also know how hard it is to come by
[3625.30s -> 3632.46s]  Tax credits especially I've worked to try to get some for several projects here in the city of Austin how hard it is to get
[3633.42s -> 3636.58s]  Enough affordable housing where we're still
[3637.18s -> 3645.38s]  Many thousands of units short and I don't feel like I can pass up this opportunity to get this project completed
[3647.14s -> 3648.90s]  Councilor Morrison
[3648.90s -> 3650.90s]  I'm also going to support this
[3650.94s -> 3656.66s]  Resoning and certainly there are the challenges that have been listed but at one point I do want to make and that is
[3657.62s -> 3662.46s]  with regard to the educational impact statements that we've got going now with AISD
[3664.10s -> 3668.34s]  That was I think the intent was
[3669.18s -> 3671.34s]  to be able to give
[3672.02s -> 3680.82s]  different information to share information between the jurisdictions and in terms of being able to give information from the city to a
[3680.90s -> 3685.18s]  school district it's about giving advanced warning about
[3687.46s -> 3693.14s]  Increases in population so that they can do some some some planning around that so
[3693.82s -> 3698.82s]  We have at least that conversation here, which is a good thing and obviously
[3699.74s -> 3707.14s]  The things here are not ideal but to be able to provide a significant affordable development is really important
[3708.14s -> 3709.78s]  I agree with that
[3709.78s -> 3715.26s]  I would I would also note that all too often around here when we talk about relationships between the city and
[3715.42s -> 3716.38s]  school district
[3716.38s -> 3723.26s]  We think about only Austin and actually there are parts of I believe eight different independent school districts in the city of Austin
[3723.38s -> 3726.30s]  Some of them pretty large like a round rock, so
[3727.50s -> 3730.62s]  Yes over tovo I'll make my comments brief
[3730.62s -> 3735.50s]  I'm gonna support the motion, but I want to say I appreciate council member Riley's
[3736.02s -> 3742.66s]  Concerns and I hope that the developer owner will take them seriously and work to address the transportation issues for all the reasons
[3742.66s -> 3744.50s]  He suggested and I want to say too
[3744.50s -> 3751.34s]  I have grave concerns about the school the impact on the school and I I agree with council member Morrison part of the intent is to make sure that that
[3751.74s -> 3755.34s]  Information gets communicated to the school district, but just as a
[3756.34s -> 3758.34s]  Message to all of us. I think we
[3758.38s -> 3759.42s]  need to
[3759.42s -> 3765.22s]  Move forward in making sure that we have an educational impact statement that works well for all of the eight districts within our
[3765.78s -> 3771.26s]  Within our city limits and I intend to bring forward a resolution if that's what's necessary to get that process
[3771.86s -> 3777.66s]  Going because I think we should also be factoring that into our decision-making in a way. That's formal
