Zoning Case: C814-2017-0001
Meeting Date: 2018-03-22T00:00:00.000
Agenda Item: 92
Source URL: http://austintx.swagit.com/play/45759/0/
================================================================================

[0.00s -> 4.96s]  All right, I think it says I think now to item number 92, which is the riverside
[1699.26s -> 1705.42s]  I'm hearing from people that we had we had an agreement to get a regulating plan and then have projects come forward and participate in it
[1705.58s -> 1713.18s]  And and this is out of cycle if you will it's this rezoning is happening outside of outside of those other things being in line
[1713.50s -> 1715.50s]  Which which could end up
[1715.50s -> 1719.02s]  We lose the opportunity to capture that develop that redevelopment value for the TIFF
[1719.10s -> 1722.94s]  Which was part of the whole point of of providing increased entitlements, you know
[1722.94s -> 1730.06s]  Just this site currently has 60 feet if we approve this zoning, it's going to 195 which again was in the master plan, but
[1730.94s -> 1737.34s]  But it was in the master plan at 195 assuming all of these other pieces were in there including the ability to capture some of that
[1737.34s -> 1742.54s]  Redevelopment value for the TIFF was my question too because the property values
[1743.82s -> 1746.54s]  Go up even before the regulating plan is adopted
[1747.18s -> 1750.46s]  Because the market reacts to what is foreseeable
[1751.10s -> 1752.62s]  What's reasonable be foreseeable market?
[1752.62s -> 1756.46s]  I would say at this point passage of the regulatory plan is from reasonably foreseeable
[1756.70s -> 1758.86s]  So having a present the impact on market value
[1759.58s -> 1763.42s]  So you had said earlier doesn't make sense to have it until the regulating plans in place
[1763.98s -> 1766.30s]  And that was a question. I asked I don't understand why
[1767.34s -> 1769.34s]  That's true
[1771.50s -> 1773.50s]  Great canal finance
[1773.66s -> 1776.38s]  Mayor mr. Tim I think as now that
[1777.10s -> 1781.02s]  Planning and zoning are working through a draft regulating plan for that
[1781.18s -> 1787.02s]  We've actually have started the engagement on on kind of having a concurrent effort on looking what a TIFF study would be
[1787.74s -> 1792.86s]  Um, we do think they need to be a concurrent exercise the exact time of when a TIFF would be adopted
[1793.34s -> 1795.34s]  If it would be adopted
[1795.90s -> 1799.50s]  We would we would want to have them kind of highly correlated mayor
[1800.14s -> 1802.14s]  at this point I would say
[1802.14s -> 1807.90s]  Move forward with the TIFF without regard to the regulating plan because it's already impacting market values
[1808.86s -> 1811.90s]  I mean, I would do them both, but I wouldn't necessarily coordinate my
[1812.70s -> 1815.66s]  I'd say bring the TIFF back to us as quickly as you can
[1816.06s -> 1818.86s]  And we've started we had so going back in time
[1819.66s -> 1821.18s]  when um
[1821.18s -> 1824.14s]  when mr. Farkas worked on the original plan or
[1824.86s -> 1825.98s]  the over the
[1825.98s -> 1827.42s]  Small area plan
[1827.42s -> 1831.74s]  We do have initial numbers to work off of it. So we're going to be basic starting our work from those
[1832.22s -> 1837.34s]  And moving forward and looking at that evaluation and we've been already discussing that with planning and zoning
[1838.30s -> 1841.02s]  So we can get back on the timeline on that here very soon
[1841.26s -> 1845.74s]  I would think it's I would think it's a high I would place a high priority on that for just the reason
[1845.74s -> 1850.70s]  You said we're we're contemplating a rezoning to match the regulating plan, which isn't yeah
[1850.70s -> 1855.42s]  I mean it is it already has impacted what might happen on that site
[1857.02s -> 1861.90s]  I'm concerned about and this is really a question for either the city manager or for
[1862.70s -> 1864.70s]  mr. Rustover and or mr. Hult
[1865.26s -> 1867.26s]  I'm concerned about the
[1867.26s -> 1869.02s]  intent to
[1869.02s -> 1871.02s]  merge the regulating plan
[1871.26s -> 1876.22s]  Onto the timeline of code next and again because we have a project proceeding through
[1876.62s -> 1881.18s]  In advance of the regulating plan and the regulating plan is already in draft and moving through the boards and commissions
[1881.58s -> 1883.58s]  your memo talked about
[1885.74s -> 1887.90s]  Talked about something to do with
[1889.26s -> 1891.26s]  Having the timeline
[1892.14s -> 1894.14s]  So many of our time what we go along with
[1894.54s -> 1900.70s]  With the intention is the intention is to within code next to say within the south central waterfront
[1901.34s -> 1903.34s]  See the regulating plan for the regulations
[1903.66s -> 1908.46s]  Okay, so initially when we talked it sounded like those were going to proceed on parallel tracks
[1908.46s -> 1913.42s]  And it sounded in the memo as if it was to but now I would anticipate the regulating plan being done before code next
[1913.42s -> 1919.18s]  I went code next if it were to be adopted within the south central would say see water from plan or water from
[1919.90s -> 1927.42s]  Okay, so the line in the memo that I was concerned about adopting the seat the s cw regulating plan in tandem with adoption of code next
[1927.42s -> 1931.90s]  We'll establish the regulatory framework. It sounds as if I mean this memo just happened this week
[1931.90s -> 1935.90s]  But if we could separate those and have them happen not in tandem, but as they're ready
[1937.34s -> 1939.26s]  Understanding that the regulating plan is the right way
[1940.22s -> 1947.66s]  Which I anticipated maybe like I said konex will just prefer back to it that sounds that sounds like a better like a better path
[1950.06s -> 1952.06s]  Okay
[1953.90s -> 1958.06s]  I think that's I think mr. Fleming. I might have had a question related to one of yours
[1959.34s -> 1962.46s]  Well, I just wanted to comment on something that you said mayor I don't
[1963.18s -> 1966.62s]  My understanding is that when we talk about market values and zoning
[1967.26s -> 1972.86s]  That market value in terms of what you might buy property for is not necessarily related to what the appraisal district sets the value at
[1973.34s -> 1975.90s]  And we've also learned that the appraisal district doesn't look at zoning
[1976.30s -> 1978.14s]  Well, it sets appraisal values
[1978.14s -> 1982.94s]  So I don't and I don't disagree with if we're gonna do a tiff then we want to maximize the tiff
[1983.58s -> 1985.82s]  I'm not a big tiff fan. That's a separate issue
[1986.22s -> 1988.94s]  But I also don't want the community to think that
[1989.58s -> 1995.58s]  Just sitting a zoning or sitting a pod immediately changes the appraisal district's valuation of the property not necessarily
[1999.74s -> 2002.30s]  I'm sorry. I have another question for the applicant
[2003.10s -> 2005.42s]  And I'll I'll have more of it not tonight
[2005.42s -> 2008.06s]  But my the one I did want to ask you today
[2008.06s -> 2014.22s]  Can you talk a little bit about the green roof and whether there'll be signage indicating that there is public access?
[2014.22s -> 2021.34s]  I believe that's being offered as one of the superiority elements or one of the open space requirement to meet one of the open space requirements
[2022.62s -> 2027.66s]  Now not remembering which but it was it was raised in the environmental board meeting
[2028.22s -> 2033.02s]  It's a sizable green roof and they would like to see that as an example for other buildings
[2033.58s -> 2037.26s]  And they wanted to make sure that there was both signage and awareness
[2037.82s -> 2039.82s]  And the ability to go up there
[2039.90s -> 2045.26s]  And so while it's not a public park and that it won't have its own door and anybody can go up at any time
[2045.98s -> 2049.02s]  It will be accessible. There will be signage and there will be awareness
[2049.74s -> 2054.54s]  To increase awareness about green roofs and the reduction of the heat of impact downtown
[2055.02s -> 2061.26s]  Great. I would expect and those I anticipate will be really spelled out very clearly in the pudd ordinance. Yes super
[2061.98s -> 2065.74s]  Thanks. How about the green walls on the parking garage? I know that was another recommendation
[2067.10s -> 2071.74s]  We don't have green walls yet. We're still looking at that the architects are telling us that that
[2072.30s -> 2077.50s]  In the downtown setting is very difficult. So we don't have that yet. What's difficult about it
[2078.30s -> 2079.90s]  Well, you have
[2079.90s -> 2082.54s]  Keeping them watered keeping them growing keeping them alive
[2085.50s -> 2088.38s]  Okay, I would I'd look forward to that conversation
[2090.14s -> 2092.14s]  Hi, let's have a motion on this
[2092.38s -> 2094.38s]  someone move approval of
[2095.42s -> 2100.86s]  This item 92. I have a quick question. Okay. This is a question for staff
[2102.86s -> 2105.42s]  And if it's involved, you can send me the information
[2105.98s -> 2108.62s]  But basically I've noticed that the variants that
[2109.02s -> 2111.74s]  Variances that are requested from the waterfront overlay
[2112.30s -> 2115.18s]  One of them relates to the mirrored glass
[2115.82s -> 2117.82s]  And so I'm curious about
[2118.06s -> 2123.42s]  About why a variance is required in other words, why does the waterfront overlay prohibit that and
[2124.14s -> 2127.26s]  Why is a variance needed and what's the criteria for a variance?
[2127.66s -> 2132.14s]  So again, if that's something you need to send me that's okay if it's not a simple answer
[2132.38s -> 2134.38s]  Okay, I'll send it to you. Okay
[2135.34s -> 2137.34s]  Chair motion to approve item number 92
[2138.62s -> 2142.14s]  Flanagan makes that motion is there a second to that motion mr. Three seconds that motion
[2143.82s -> 2148.94s]  Discussion yes, I need to ask council member Flanagan. Is that planning commission recommendation?
[2152.14s -> 2153.58s]  Mary council if I may
[2153.58s -> 2157.90s]  The planning commission recommendation was to approve the staff recommendation with some additional conditions
[2158.70s -> 2159.58s]  um
[2159.58s -> 2161.74s]  I think those additional conditions are things such as
[2162.38s -> 2164.38s]  Encouraging a speedy adoption of the pin
[2164.38s -> 2169.42s]  Encouraging a speedy adoption of the tiff the Rayleigh and plan the burying of some electrical lines
[2169.98s -> 2172.78s]  The visitation with the green roof. These are things that are
[2173.42s -> 2175.98s]  Difficult or maybe impossible to put in his zoning ordinance
[2176.54s -> 2181.50s]  We understand their intentions and we are in of like mine with regard to those items
[2182.06s -> 2189.66s]  Um, but I would actually request that you approve the staff recommendation in this particular case knowing and given us direction to follow the
[2190.38s -> 2193.34s]  Items that the planning commission passed, but some of those things the planning commission passed
[2193.42s -> 2195.34s]  I cannot put his only one
[2195.34s -> 2197.34s]  of these staff recommendation
[2198.94s -> 2200.94s]  Mr. Flanagan moves the staff recommendation
[2201.98s -> 2203.42s]  That's the motion
[2203.42s -> 2209.50s]  So may I think some of those recommendations are really important and and we likely don't want to spend the time going through them
[2209.66s -> 2214.70s]  One by one to talk about whether we can or can't put them in a zoning ordinance, but I would
[2216.22s -> 2218.22s]  Either add them
[2218.22s -> 2223.10s]  I think what I would like to do is instead move staff move planning commission recommendation
[2223.50s -> 2225.50s]  If I can get a second for that, okay
[2225.74s -> 2230.30s]  Mayor pro tem would like to amend it to be the planning commission recommendations in a second
[2232.46s -> 2234.46s]  Councilor all their seconds
[2235.26s -> 2238.14s]  And I think that'd be okay, but just understand that
[2238.70s -> 2242.86s]  All everything that they put in the pc recommendation are not things that I can put into his zoning ordinance
[2242.86s -> 2245.18s]  So there's gonna be things that will not be in there
[2246.30s -> 2249.34s]  Is this first reading is this first reading? It is it is first reading home?
[2249.90s -> 2254.14s]  I would I think that I would be more comfortable operating from that position because then
[2254.38s -> 2258.86s]  Hopefully the staff can work as creatively as possible to see how they can accommodate those
[2259.74s -> 2261.74s]  and and in what forms and
[2262.22s -> 2265.66s]  Okay, well, we'll do that. I just want to so you're not surprised when you see things that we're the
[2266.06s -> 2270.86s]  Do you have any problems other than not being able to put it in the ordinance? Do you have any problems anything different pieces?
[2271.10s -> 2275.34s]  So you're okay with all of them. Yes, I haven't checked on the power lines, but yes
[2275.50s -> 2277.50s]  I'm going to support the
[2278.14s -> 2285.34s]  Amendment here in between first reading when we come back figure out what is appropriate to include and the things that are appropriate to include
[2285.58s -> 2288.70s]  See if there's some other thing we should be doing with those
[2289.58s -> 2294.14s]  Any discussion on the amendment? Let's vote on the amendment doesn't favor the amendment. Please raise your hand
[2294.86s -> 2300.38s]  Those opposed unanimous on the dyes with trucks clearing pool off. Let's take a vote now on first reading
[2301.10s -> 2303.42s]  on the prime mayor pro tem sorry
[2304.54s -> 2306.54s]  um, I just want to
[2306.54s -> 2310.38s]  Indicate that I am going to support this on the on first reading though as I mentioned
[2310.46s -> 2315.58s]  I have significant concern for my constituents in this area on several of these issues, but just to recap
[2318.14s -> 2322.46s]  Affordable housing calculation in my estimation needs to be adjusted
[2323.26s -> 2324.38s]  I
[2324.38s -> 2329.02s]  Hope that we can get some clarity from any hcd and how a cdc might interact with that
[2329.82s -> 2336.62s]  Some more concrete language on how the pid will operate in this area to to really focus on the waterfront
[2337.50s -> 2339.50s]  staff have agreed to
[2339.50s -> 2341.50s]  Look at the look with legal at the
[2342.54s -> 2348.94s]  At how well how and whether they can hold back building permits or some other methods until we have the tip in place
[2350.86s -> 2356.22s]  And we've already addressed the regulating plan so we don't need to do that uh pid commitment and then if we can expedite the
[2356.22s -> 2358.22s]  the
[2358.38s -> 2360.38s]  Pid pid piece
[2366.78s -> 2368.78s]  Is that my way of direction
[2369.58s -> 2372.62s]  Okay, three capping some of the questions and things that we haven't talked about
[2372.94s -> 2374.78s]  And that includes those in public hearing correct
[2377.26s -> 2380.06s]  Well, we had almost no one come down this time
[2380.06s -> 2383.42s]  So, but I do think we should afford people the opportunity to talk next time if
[2384.38s -> 2387.58s]  If we have a if we have anyone who wants to come down and address us
[2389.50s -> 2391.50s]  Any amendment is not is is
[2394.30s -> 2399.26s]  Is first reading is planning commission recommendation first reading not close the public hearing
[2401.50s -> 2403.50s]  That's what's in front of us now
[2403.74s -> 2406.38s]  Ready to take a vote those in favor please raise your hand
[2407.50s -> 2409.18s]  those opposed
[2409.18s -> 2412.54s]  Okay, it's unanimous on the dice with pool and tracks clear off
[2413.50s -> 2415.50s]  That takes care of that there are two things that are left
[2417.02s -> 2419.02s]  For us
[2420.62s -> 2422.62s]  Thank you
[2422.62s -> 2424.62s]  Here to do 96 if you like work go ahead
[2425.50s -> 2427.50s]  It was actually three things
[2427.66s -> 2429.66s]  Night out, okay
