Zoning Case: C14-2014-0036
Meeting Date: 2014-10-16T00:00:00.000
Agenda Item: 52
Source URL: http://austintx.swagit.com/play/45643/0/
================================================================================

[0.00s -> 5.62s]  So that brings us to items. We'll consider 51 and 52 together
[1872.54s -> 1874.54s]  Or a neighborhood street like color
[1875.50s -> 1877.50s]  Um
[1879.34s -> 1883.02s]  You see I don't have those in the ti I can look them up there in the code they have a
[1883.98s -> 1885.98s]  um a threshold
[1885.98s -> 1891.10s]  Recommendation for a desirable operating level. I can look those up for you. If you could look those up. That'd be great. Thank you
[1893.34s -> 1895.18s]  Oh
[1895.18s -> 1902.70s]  Maybe you could short-circuit that have we rated the amount of traffic relative to capacity on Justin calling our hardy
[1905.10s -> 1907.98s]  I know there are some segments of streets and
[1908.94s -> 1914.30s]  In the urban core that we've actually rated on a green blue or in red
[1915.58s -> 1919.50s]  None aware of that. What I'm aware of is in the neighbor traffic nta section of the code. There's uh
[1920.38s -> 1923.18s]  A desirable operating level of exceeds a desirable operating level
[1923.74s -> 1929.42s]  We're not supposed to recommend it unless we're doing things to mitigate it. Yeah, I do have here the final reduction the final recommendation
[1930.22s -> 1932.22s]  of the nta
[1932.46s -> 1934.06s]  was that the
[1934.06s -> 1937.82s]  The applicant would be required to post fiscal for widening
[1940.46s -> 1945.02s]  For up to 30 feet of roadway for the entire street frontage of the property long colon and hardy drive
[1945.58s -> 1947.58s]  was the recommendation of the nta so
[1949.02s -> 1953.90s]  Because of the added traffic was recommended they provide right away to expand the roadway
[1954.94s -> 1959.42s]  30 feet of right-of-way meaning extending a 30 foot into a 60 foot
[1960.30s -> 1966.22s]  It says uh would be required to post fiscal from proving the roadway with up to 30 feet for the entire street frontage
[1966.30s -> 1969.34s]  So to provide for 30 feet of total
[1969.90s -> 1972.78s]  Okay, so turning more or less a two lane into a four lane
[1974.46s -> 1980.86s]  I believe um for 30 feet for the for the roadway not 30 feet from the center line. So it'd be 30 feet total width of the roadway
[1981.82s -> 1985.26s]  Okay, so that's that setting a lane on each end though, wouldn't it about yes
[1986.22s -> 1992.46s]  Okay, uh if you could check on what the the the recommended uh capability I'd appreciate
[1999.58s -> 2001.74s]  Okay, I think we're
[2001.74s -> 2006.46s]  Ready for a motion on this would be an item item 51 which is the flum issue
[2007.50s -> 2009.82s]  We'll vote on the zoning issue separately
[2016.22s -> 2018.70s]  I
[2018.70s -> 2020.70s]  May I I'd like to hear
[2020.78s -> 2024.62s]  About those those traffic numbers, but as far as the flum is concerned
[2025.34s -> 2027.34s]  Wait a minute
[2027.34s -> 2029.74s]  Do I need to fill a bus or any further jury? Do you have a number?
[2029.74s -> 2033.26s]  I have a number so okay. I'm just gonna read directly from the neighborhood traffic analysis
[2033.34s -> 2037.74s]  Okay, so as according to 25 6 16 the ldc traffic on a residential collector street
[2038.46s -> 2040.78s]  with a pavement with of 30 to 40 feet
[2041.74s -> 2045.90s]  a desirable operating in those 1200 vehicles per day so on
[2046.86s -> 2050.94s]  Colin and Hardy with the added traffic of the original traffic assumption
[2051.66s -> 2055.02s]  The existing traffic on those streets is about 1,100 and about 1,000
[2055.66s -> 2062.54s]  And with the added traffic could be about 1,709 and about 1,400 and Hardy so they would exceed the desirable operating level
[2063.42s -> 2065.42s]  in the code, but
[2065.42s -> 2067.42s]  The code also states that
[2067.90s -> 2072.70s]  So that the in that case the staff should I recommend it unless there are mitigate unless there is mitigation proposed
[2073.26s -> 2075.26s]  in this case the mitigation was proposed of the
[2076.38s -> 2082.46s]  Dedication or right away to accommodate the widening of the street fair enough. How about Justin? Is that an arterial currently or is it?
[2082.94s -> 2085.42s]  Yes, I believe that Justin is an arterial it was not
[2086.54s -> 2088.54s]  included in the
[2088.94s -> 2090.94s]  NTA
[2091.50s -> 2093.50s]  Because it's a different type of street, okay
[2093.50s -> 2095.50s]  Okay
[2097.18s -> 2099.18s]  This is an arterial
[2099.50s -> 2101.82s]  Okay, that's I think it's probably what I need them now
[2102.94s -> 2107.26s]  Mayor given that we're only talking about a long block it is it is a
[2108.22s -> 2110.86s]  Long block, but it is only a block off of bernet road
[2111.66s -> 2115.66s]  Given that the parking requirements are consistent with the city's requirements
[2115.66s -> 2120.54s]  Although they're they're lighter than our usual they're only again a block off of bernet, which is a very
[2121.18s -> 2126.54s]  a street which we can reasonably expect to have a lot of bus traffic on and a lot of
[2128.30s -> 2131.10s]  availability of alternative means of transportation
[2131.90s -> 2134.22s]  In light of the fact that the frontage on this
[2134.94s -> 2142.22s]  Property is going to be two stories all along the front and only three stories well interior 120 feet or so from the street
[2143.50s -> 2148.30s]  And I am in light of the fact that I am persuaded by mr. Throwers argument that
[2148.86s -> 2152.94s]  Elle is in fact a transitional use and not a commercial use
[2153.50s -> 2155.90s]  It's certainly not sort of thing we'd expect to see on road at road
[2155.98s -> 2161.74s]  But it's not at all inconsistent with being across the street from multifamily or single family housing
[2162.22s -> 2164.22s]  I'll move approval of the
[2166.30s -> 2170.86s]  Yeah, I didn't think you're going to like it. I move approval of the staff recommendation
[2172.14s -> 2176.78s]  motion by councilmember spelman to approve the staff recommendations that to
[2179.10s -> 2186.14s]  Actually my apologies the staff recommendation consistent with mr. Throwers more recent plan. I believe it is but i'm not certain
[2186.78s -> 2188.78s]  It was very similar
[2189.58s -> 2191.58s]  mr. Throwers
[2193.34s -> 2200.46s]  Mixed use office mixed use office. I think was was consistent as one to be sure that the the most recent changes were still consistently
[2200.46s -> 2205.90s]  Yes, I think mr. Thrower proposed tonight is a little more updated than what was in the staff recognition
[2205.90s -> 2208.70s]  so mr. Throwers asked for geo and muco
[2209.74s -> 2210.38s]  with
[2210.38s -> 2214.78s]  Elle site development regulations except for building coverage and previous cover traffic limited to
[2215.90s -> 2220.94s]  110 trips per day 30 feet height except for the 10,000 square foot area, which would be 40 feet
[2221.58s -> 2226.62s]  Height limited to for habitable structures the two stories except for the 40 foot area
[2227.66s -> 2232.54s]  Prohippet medical office and provide for residential uses facing column and half a hardy
[2233.18s -> 2239.26s]  That sounds substantially consistent with the staff recommendation, but I'll move approval of of the proposal by the applicant
[2240.38s -> 2243.50s]  And this is ready for first reading only and I believe
[2244.30s -> 2251.26s]  Is that closed public hearing and proven first reading closed public hearing first reading on motion by councilmember spelman sir a second
[2253.18s -> 2255.18s]  There's a second to that motion
[2256.38s -> 2258.78s]  I'll second the motion discussion
[2263.26s -> 2265.26s]  I
[2265.26s -> 2270.06s]  Discussion all those in favor say aye aye aye both say no
[2271.90s -> 2273.90s]  So three noes customer writing
[2274.62s -> 2279.34s]  I have some doubts about this, but I will I'm not sure I would support on second and third reading
[2279.34s -> 2282.14s]  But I appreciate the change that was aimed at providing it
[2282.70s -> 2286.86s]  Residential on the perimeter of the garage and so I will vote for first reading only I would vote
[2287.50s -> 2291.26s]  I to keep it alive. Okay, so that passes on a vote of four to two
[2292.06s -> 2295.42s]  with council member martinez and tovo voting no
[2296.30s -> 2298.30s]  and councilman martin off the dice
[2299.74s -> 2305.42s]  That takes us to item number 52, which is the associated zoning ordinance
[2308.14s -> 2314.38s]  Same close close public hearing approved on first reading only motion by councilmember spelman
[2315.18s -> 2317.18s]  is there a second
[2317.66s -> 2319.98s]  Second by the mayor pro jam discussion
[2321.34s -> 2323.26s]  Those in favor say aye aye
[2323.26s -> 2325.26s]  aye post say no
[2326.22s -> 2332.22s]  Passes on a vote of four to two with counselor martinez and tovo voting no and counselor marson off the dice
[2332.78s -> 2335.02s]  Again, this both of these on first reading only
