Zoning Case: C14-2017-0067
Meeting Date: 2018-03-22T00:00:00.000
Agenda Item: 91
Source URL: http://austintx.swagit.com/play/45759/0/
================================================================================

[0.00s -> 5.00s]  I'm sorry, 91.
[1836.24s -> 1842.24s]  I didn't hear staff say how many other, they only mentioned the letters that they received in favor.
[1842.24s -> 1846.24s]  I'd like to know how many letters you received opposed.
[1846.24s -> 1851.24s]  And that's all I please adhere to your zoning commission's recommendations.
[1851.24s -> 1854.24s]  I think they put that long and hard about this.
[1854.24s -> 1858.24s]  And I thank you for your consideration.
[1859.24s -> 1861.24s]  Thank you.
[1861.24s -> 1866.24s]  It's Carol here.
[1866.24s -> 1868.24s]  It'll be up next.
[1868.24s -> 1870.24s]  Hi, my name is Brenda Langford.
[1870.24s -> 1873.24s]  I'm here representing the River Place homeowners association.
[1873.24s -> 1876.24s]  River Place is about three miles west.
[1876.24s -> 1881.24s]  Any of our residents that leave River Place and go in into town,
[1881.24s -> 1886.24s]  go through the center section at 2222 either straight down 2222.
[1886.24s -> 1892.24s]  Or as Mr. Iglesias said out the back and come down City Park through that same intersection.
[1892.24s -> 1897.24s]  River Place is supporting the zoning change.
[1897.24s -> 1902.24s]  I know everyone keeps arguing that CS is not appropriate, but it's not a CS zoning.
[1902.24s -> 1908.24s]  It is a CS with a CO that limits it to this one very specific CS purpose.
[1908.24s -> 1913.24s]  Other than that, it has the same limited office or retail that it would have before.
[1913.24s -> 1921.24s]  They've actually in accepting this zoning limited some some prior things that they were able to do.
[1921.24s -> 1928.24s]  With this restricted covenant, the developers have spent a lot of time addressing neighborhood concerns.
[1928.24s -> 1936.24s]  Looking at aesthetics, they've agreed to see the truck parked out front with the free moving truck or the banners.
[1936.24s -> 1938.24s]  All of that is covered in this restrictive covenant.
[1938.24s -> 1942.24s]  They have worked very hard with the community to address any concerns.
[1942.24s -> 1948.24s]  As far as light pollution, a pitched roof so that the people that do sit up above on that hill looking down
[1948.24s -> 1953.24s]  aren't looking at the top of an office building with all these HVAC systems on it.
[1953.24s -> 1958.24s]  Into the native plants, the setbacks, all of that.
[1958.24s -> 1965.24s]  As Mr. Settle showed, this property sits down in a hole from the actual roadway.
[1965.24s -> 1968.24s]  You could see through that picture, it's barely even visible.
[1968.24s -> 1973.24s]  For all of these reasons, River Place, which is about 2,000 homeowners, I believe I said,
[1973.24s -> 1978.24s]  is in support at the staff recommended CS with CO zoning.
[1978.24s -> 1980.24s]  Thank you.
[1980.24s -> 1983.24s]  Thank you.
[1983.24s -> 1987.24s]  And is it Haskins here?
[1987.24s -> 1991.24s]  You'll be at this.
[1991.24s -> 1994.24s]  Mr. Haskins, you'll be at that podium.
[1994.24s -> 1999.24s]  And you have some donated time from your husband to here.
[1999.24s -> 2003.24s]  And then from Brendan Callahan.
[2003.24s -> 2005.24s]  It's Brendan Callahan here.
[2005.24s -> 2006.24s]  Okay.
[2006.24s -> 2010.24s]  So you'll have seven minutes.
[2010.24s -> 2011.24s]  Thank you.
[2011.24s -> 2013.24s]  My name is Carol Torvins.
[2013.24s -> 2020.24s]  And I'm here tonight officially representing the Long Canyon Phase 2 and 3 Homores Association.
[2020.24s -> 2026.24s]  Our association is in support of this zoning request.
[2026.24s -> 2032.24s]  And along with our sister neighborhood of Long Canyon Phase 1, we both send in letters.
[2032.24s -> 2034.24s]  I believe that you receive the letters.
[2034.24s -> 2039.24s]  Together we represent about 350 homes in the area.
[2039.24s -> 2042.24s]  We are the third nearest neighborhood.
[2042.24s -> 2046.24s]  But unlike every other neighborhood you've heard from, both in writing and tonight in person,
[2046.24s -> 2052.24s]  we are the only neighborhood whose only access out of our neighborhood is on RM 2222.
[2052.24s -> 2059.24s]  Every other neighborhood that you have heard from and will hear from has another way of getting out.
[2059.24s -> 2064.24s]  They can either get out onto 360 or they have some other way to get out of their neighborhood.
[2064.24s -> 2065.24s]  We do not.
[2065.24s -> 2068.24s]  So for us, traffic on 2222 is a very big deal.
[2069.24s -> 2078.24s]  Anything that reduces that traffic such as a very low use like the convenience storage use is a very positive thing.
[2078.24s -> 2081.24s]  And maybe 2,000 trips more or less as a matter of other people.
[2081.24s -> 2086.24s]  But there have been a number of times in the last two or three years when we could not leave our neighborhood at all.
[2086.24s -> 2089.24s]  Because 2222 is blocked in both directions.
[2089.24s -> 2094.24s]  So traffic is a serious consequence to us.
[2094.24s -> 2104.24s]  We also participate from the very beginning in the restrictive covenant development.
[2104.24s -> 2115.24s]  And we believe it represents a very serious effort on the part of the developers to meet the requirements and needs and concerns of all the neighborhoods that they've talked to.
[2115.24s -> 2120.24s]  Not just the ones who were represented by the signing of the covenant.
[2120.24s -> 2123.24s]  The covenant does not go away in a few years.
[2123.24s -> 2124.24s]  It's there.
[2124.24s -> 2127.24s]  There are a few conditions under which of course it can go away.
[2127.24s -> 2129.24s]  It's a very well written covenant.
[2129.24s -> 2137.24s]  It's been reviewed by our attorneys and we feel very confident that it provides incredible protections to our neighborhoods.
[2137.24s -> 2143.24s]  Under the restrictive covenant, the only use permitted period is convenience storage.
[2144.24s -> 2149.24s]  The staff recommendation of convenience storage with the backup of LO uses.
[2149.24s -> 2153.24s]  We understand and we understand why that's good.
[2153.24s -> 2156.24s]  And we think that's a very reasonable thing to bring to council.
[2156.24s -> 2160.24s]  Council should not see a staff recommendation for only one use.
[2160.24s -> 2164.24s]  So that makes a lot of sense with what they have brought to you.
[2164.24s -> 2172.24s]  But we have signed restrictive covenant which is much more limiting its lower traffic than the city would require.
[2172.24s -> 2178.24s]  And we feel very confident that we can defend it as we have defended other restrictive covenant in the past.
[2178.24s -> 2182.24s]  I'd like to share with you something that happened two and a half years ago.
[2182.24s -> 2183.24s]  Some of you may remember this.
[2183.24s -> 2186.24s]  Two of you were not on the council then so you will not.
[2186.24s -> 2195.24s]  On September 17, 2015, a zoning case very similar to this was brought to the new 10-1 council at that time.
[2196.24s -> 2203.24s]  I'm sorry on FM 620 for rezoning to CSCO to allow convenience storage facility.
[2203.24s -> 2205.24s]  Staff recommended against it.
[2205.24s -> 2208.24s]  Zoning and planning recommended against it.
[2208.24s -> 2210.24s]  The neighborhoods recommended against it.
[2210.24s -> 2217.24s]  Council passed it unanimously on first reading and on second and third reading.
[2217.24s -> 2223.24s]  And the reason was because you felt that it was a very reasonable use of the property.
[2223.24s -> 2227.24s]  And you didn't think that CSCO would be a problem in the future.
[2227.24s -> 2239.24s]  And it was explained very carefully by staff that it was the only way that you could permit a convenience storage use on that property was the CSCO.
[2239.24s -> 2244.24s]  Actually, Mayor Adler, I just listened to the recording this afternoon.
[2244.24s -> 2246.24s]  This is very fresh in my mind.
[2247.24s -> 2249.24s]  Mayor Adler asked Jerry rest of it.
[2249.24s -> 2261.24s]  If there was some way that council could have some kind of reassurance that the CSCO would not be forgotten about and that it would not be used to set a precedence for CSCO in that area.
[2261.24s -> 2263.24s]  I'm sorry, in that area in the future.
[2263.24s -> 2275.24s]  And Mr. Russell, Mr. Russell replied that they could put a memo and file that it was the council's intent that this would not set a precedent for other CSCO development in the area.
[2275.24s -> 2287.24s]  There also commented that this appeared to be a zoning problem that you could not have convenience storage without CSCO in an area which would not normally be appropriate for CSCO.
[2287.24s -> 2294.24s]  And Mr. Russell then commented that historically that's where he had been.
[2294.24s -> 2300.24s]  And CSCO was the only way to allow that use in a non-generally CS area of town.
[2300.24s -> 2306.24s]  Mayor Adler also noted that as that commissioner during their hearing had commented that this needs to be fixed by code next.
[2306.24s -> 2308.24s]  It is not.
[2308.24s -> 2313.24s]  So, I understand why people don't like CSCO.
[2313.24s -> 2316.24s]  I also understand that it's a matter of trust.
[2316.24s -> 2319.24s]  The neighbors do not trust you.
[2319.24s -> 2327.24s]  They do not trust the land use commissions and they do not trust staff to remember in the future what the CSCO was all about.
[2327.24s -> 2329.24s]  I think that's very unfortunate.
[2329.24s -> 2334.24s]  I think that's what needs to be addressed really is why we don't have that trust anymore.
[2334.24s -> 2338.24s]  I on the other hand have worked on these kinds of cases for over 12 years.
[2338.24s -> 2345.24s]  I have very much confidence in our staff that they will be able to look into future zoning requests in our area.
[2345.24s -> 2354.24s]  And they will see that this was a special case for convenience storage and not just an opening up CS to every property along the street.
[2355.24s -> 2363.24s]  And I believe that our land use commissions and our council are perfectly capable of seeing this for what it is in the future,
[2363.24s -> 2372.24s]  which is an unfortunate requirement that CSCL be used to allow convenience storage on a property where it makes sense,
[2372.24s -> 2375.24s]  even though we don't have a good zoning way of handling it.
[2375.24s -> 2381.24s]  We have a similar situation, CS1, I think you're all familiar with that, which is the liquor store.
[2381.24s -> 2391.24s]  We have CS1 uses dropped in the middle of GR or whatever zoning all the time because that's the only liquor store in an area which isn't zoned CS.
[2391.24s -> 2397.24s]  And no one looks at CS1 and says, oh, that means that everything around here can be zoned CS now.
[2397.24s -> 2403.24s]  No one thinks that because people know they understand why that CS1 zoning is in place.
[2403.24s -> 2405.24s]  I think this is a very similar thing.
[2405.24s -> 2411.24s]  I think it's too bad in the two and a half years since Council addressed this with staff that we don't have a CS2,
[2411.24s -> 2416.24s]  which is only convenience storage so that we can have that same special case, but we don't.
[2416.24s -> 2423.24s]  So I'm asking you tonight to take the same leap of faith that we in the public take with you every day,
[2423.24s -> 2427.24s]  which is that you don't want your doing, staff know what those what they're doing,
[2427.24s -> 2434.24s]  and you and future councils will also know what's going on and approve this use because it makes sense for our community
[2434.24s -> 2435.24s]  and our neighborhoods.
[2435.24s -> 2436.24s]  Thank you.
[2436.24s -> 2437.24s]  Thank you.
[2437.24s -> 2438.24s]  Head Haskins.
[2438.24s -> 2441.24s]  Oh, that's right.
[2441.24s -> 2449.24s]  What about the Andy Pastor?
[2449.24s -> 2450.24s]  Doc?
[2450.24s -> 2453.24s]  Mr. Sawe, do you want to close?
[2453.24s -> 2457.24s]  You have three minutes.
[2457.24s -> 2461.24s]  May I remember Mr. Council?
[2461.24s -> 2462.24s]  Thank you.
[2462.24s -> 2467.24s]  Again, we've pointed out that it's a hole in the code is the only reason we're here tonight.
[2467.24s -> 2471.24s]  We could offer up if there was a way to do a restrictive covenant.
[2471.24s -> 2476.24s]  We don't mind a rollback after the building is built a rollback to something else,
[2476.24s -> 2481.24s]  as long as there's protection there to be able to rebuild it if it burned down.
[2481.24s -> 2484.24s]  We don't want to be up here asking for CS1.
[2484.24s -> 2490.24s]  We're up here asking for what four neighborhoods wanted, and that was a convenience storage instead of some other use on this.
[2491.24s -> 2493.24s]  Let me touch real quick on the protections.
[2493.24s -> 2495.24s]  There's multiple protections here.
[2495.24s -> 2497.24s]  The covenant is a protection.
[2497.24s -> 2502.24s]  The zoning is a protection because there's only one CS use and then we're actually deleting a bunch of LR uses.
[2502.24s -> 2504.24s]  So that's a net gain.
[2504.24s -> 2510.24s]  Somebody had commented about property values in the way this is going to look.
[2510.24s -> 2514.24s]  Endeavor has commissioned Michael Schu to design this building.
[2514.24s -> 2518.24s]  So it'll be what little you could see will be a nice design.
[2518.24s -> 2522.24s]  They'll be doing the help country motif, so it'll have the pitch roof and all.
[2522.24s -> 2529.24s]  Like I said, it's actually a down zoning because we're saying it's LO instead of LR.
[2529.24s -> 2533.24s]  We've got to clarify something on the trips in the restrictive covenant.
[2533.24s -> 2538.24s]  We're limited to 400 trips, and in the staff recommendation it says 470.
[2538.24s -> 2542.24s]  That is limited to a CS convenience storage use.
[2542.24s -> 2547.24s]  If it's not that use, then we revert back to the previous restrictions on the trips in this area.
[2547.24s -> 2554.24s]  WLO will not work, and we will not zone this property down WLO.
[2554.24s -> 2562.24s]  Because of the site development regulations that are in our code today, if they were different, we would say WLO would work.
[2562.24s -> 2568.24s]  So with that, I would hope that you would take the time.
[2568.24s -> 2571.24s]  Oh, and let me tell you about the ZAP recommendation.
[2571.24s -> 2576.24s]  We did not have the restrictive covenant negotiated and signed at the time of ZAP.
[2576.24s -> 2582.24s]  So we went into ZAP with a lot of angry neighborhoods and neighborhood opposition.
[2582.24s -> 2587.24s]  And the ZAP said, well, I don't know if it would have made a difference or not.
[2587.24s -> 2594.24s]  But since ZAP, the restrictive covenant was negotiated and agreed upon by Kona in a lot of the neighborhoods.
[2594.24s -> 2598.24s]  So we've got our whole team here to answer any questions that you might have.
[2598.24s -> 2602.24s]  We're just caught in this code dilemma.
[2602.24s -> 2609.24s]  If there is a way, if the city attorney could work with us, we will work on a zoning rollback or a zoning change at code next level,
[2609.24s -> 2617.24s]  or whatever it takes after this is built to make it fit into a more palatable zoning category.
[2617.24s -> 2620.24s]  But we're just stuck. This is the only one that works.
[2621.24s -> 2622.24s]  Thank you.
[2622.24s -> 2623.24s]  Thank you.
[2623.24s -> 2625.24s]  All right.
[2625.24s -> 2631.24s]  These old people were back up to the back up to the dice.
[2631.24s -> 2638.24s]  Council?
[2638.24s -> 2646.24s]  I suppose that the applicant is stuck in our zoning code.
[2647.24s -> 2649.24s]  Purgatory here.
[2649.24s -> 2659.24s]  And I would appreciate the opportunity to talk about that rollback provision and the private restrictive covenant.
[2659.24s -> 2666.24s]  This is a tough one for me because the neighbors are split on this.
[2666.24s -> 2670.24s]  And I understand they favor the storage unit.
[2670.24s -> 2675.24s]  I'm still having trouble understanding why we would ever zone for storage anywhere in the city.
[2675.24s -> 2680.24s]  But I understand that that's a use that the neighbors favor.
[2680.24s -> 2686.24s]  I think there is some confusion here over the traffic situation.
[2686.24s -> 2692.24s]  I want to recall for my colleagues that there are limits on the trips that come from the champions track settlement.
[2692.24s -> 2695.24s]  So you can never have over a certain number of trips.
[2695.24s -> 2703.24s]  And if you take that pie and you divide it and you take less for this track, they're just going to use more on the other track.
[2703.24s -> 2710.24s]  So that total amount is still going to be your traffic as Miss Miller mentioned there.
[2710.24s -> 2715.24s]  So I love to kind of get a sense of where my colleagues are.
[2715.24s -> 2725.24s]  At this point for first reading, you know, I could support a first reading of WLO.
[2725.24s -> 2731.24s]  But I can't support a first reading of the CS CO.
[2731.24s -> 2742.24s]  And I'd like to hear a little bit from my colleagues where they're at.
[2742.24s -> 2746.24s]  So WLO, let me just say, allows for storage.
[2746.24s -> 2751.24s]  It does not allow for the height that the applicant is asking for.
[2751.24s -> 2758.24s]  This is a part of where the Hill Country Roadway Ordinance does apply.
[2758.24s -> 2768.24s]  And I forgot to mention one other thing, which is that I'm not sure that ZAP would approve this again from a planning perspective if it went back to ZAP.
[2768.24s -> 2781.24s]  But if the applicant wants to send it back to ZAP with support of some of the neighborhoods around and the restrictive covenant and if they support it, then I could support it moving forward.
[2781.24s -> 2783.24s]  Mayor Pro Tem.
[2783.24s -> 2797.24s]  Could we hear? I'm sorry. I know he addressed it, but I wonder if we could hear from the applicant again about about the about why WLO won't work since it provides for the use that your developer is seeking.
[2797.24s -> 2803.24s]  Thank you. So first of all, it's not a permitted use in WLO. It's a conditional use.
[2803.24s -> 2810.24s]  So you go through the conditional use site plan process, but you actually do that through your Hill Country anyway.
[2810.24s -> 2821.24s]  That's one thing though. It is a conditional use. But the second thing is that WLO has a 25 foot height limitation and a one story limitation.
[2821.24s -> 2829.24s]  So you can only do 25 feet, which is many houses are taller than 25 feet and one story.
[2829.24s -> 2836.24s]  So the site development criteria doesn't work under WLO.
[2836.24s -> 2841.24s]  Sorry, I could pull out my sheet and look this up myself, but instead I'm just going to ask you to say that again.
[2841.24s -> 2847.24s]  25, the height limit is 25 feet. 25 feet. And one story. And one story.
[2847.24s -> 2852.24s]  And what's your intent in terms of height and stories for this story?
[2852.24s -> 2858.24s]  We intend to pursue because it's down in a hole and we're squinching in the buildings because of the flood plan.
[2858.24s -> 2865.24s]  We intend to pursue the density bonus under the Hill Country roadway and go up 240 feet
[2865.24s -> 2867.24s]  and probably three stores.
[2867.24s -> 2874.24s]  And the first concern you had, it sounds like you resolved as you were talking about it, that either way,
[2874.24s -> 2881.24s]  that the conditional use permit, the fact that it's conditional use is not.
[2881.24s -> 2884.24s]  Well, you have to go to the planning commission because you have to go through anyway.
[2884.24s -> 2887.24s]  You've got to go to the planning commission anyway for your site plan.
[2887.24s -> 2896.24s]  But it's a double, it's a double ask. It's a conditional use permit and a Hill Country site plan.
[2896.24s -> 2898.24s]  Okay. All righty. Thanks.
[2898.24s -> 2902.24s]  It's basically the 25 foot and the one story limitation.
[2902.24s -> 2908.24s]  It's just when you've got a track that's in the hole anyway, the building that I showed you where you could barely see it.
[2908.24s -> 2911.24s]  That's that is dimensioned off at 40 feet.
[2912.24s -> 2917.24s]  Council.
[2917.24s -> 2922.24s]  Can I explain why you're recommending this change?
[2922.24s -> 2927.24s]  We are recommending this change for three reasons,
[2927.24s -> 2929.24s]  many of which Mr. Sullivan stated.
[2929.24s -> 2933.24s]  One, the site is severely constrained by the floodplain.
[2933.24s -> 2937.24s]  The site is constrained by the lead that was contaminated and cleaned up the site,
[2937.24s -> 2940.24s]  but also limits what can happen in the future.
[2940.24s -> 2945.24s]  The site does not have good visibility off of the street because it is down in the hole.
[2945.24s -> 2948.24s]  And the site is the lowest traffic generator we can think of.
[2948.24s -> 2951.24s]  And traffic has always been the biggest issue here.
[2956.24s -> 2961.24s]  I have a question of the applicant.
[2961.24s -> 2968.24s]  What did I hear you say with regard to at least one of the concerns that the neighbors had,
[2968.24s -> 2971.24s]  which was what would happen to this property under code next?
[2971.24s -> 2978.24s]  Did I hear you say that you would be willing to even, what did you say about that?
[2978.24s -> 2979.24s]  I know you said something.
[2979.24s -> 2988.24s]  What I'm telling you is that my client will do whatever it takes after his building is built to have the zoning roll back or fixed or rezoned under code next,
[2988.24s -> 2995.24s]  so that we don't have this zoning on the map that everybody is uncomfortable with.
[2996.24s -> 2999.24s]  The customer, if I could address that, the applicant would not actually not have to do anything.
[2999.24s -> 3004.24s]  If the council were to approve the zoning, as recommended by the staff, will have a CO,
[3004.24s -> 3008.24s]  the CO that we spoke of that restricted to the only CSU's being the self-storage.
[3008.24s -> 3012.24s]  And because it has that CO, it would get what we're calling F25 and code next.
[3012.24s -> 3015.24s]  And so the zoning would stay the same even after code next,
[3015.24s -> 3020.24s]  including all the conditions that are limited to just the self-storage and other LO uses.
[3020.24s -> 3024.24s]  So basically, the zoning would not be changed under code next,
[3024.24s -> 3028.24s]  so there would be no need to discuss a rollback or a change or anything like that.
[3028.24s -> 3032.24s]  It would remain whatever the council approved today where they do approve it.
[3032.24s -> 3034.24s]  Okay, just a follow-up question.
[3034.24s -> 3047.24s]  This F25, does it address the concerns that we've heard about the reason for having to go CSCO and the difficulties under the current code for storage?
[3047.24s -> 3048.24s]  Well, I'd have to look.
[3048.24s -> 3051.24s]  I heard Ms. Storgensen say that she felt that they had not changed.
[3051.24s -> 3052.24s]  I believe it had.
[3052.24s -> 3053.24s]  I'll have to take a second look at that.
[3053.24s -> 3057.24s]  My recollection, and I can't obviously remember all the details of code next,
[3057.24s -> 3063.24s]  but my recollection is that we did create a new use and allow that in somewhat less intense categories
[3063.24s -> 3066.24s]  because this does come up quite often that when people are doing self-storage,
[3066.24s -> 3069.24s]  they're doing the same thing that was being requested today, which is CS,
[3069.24s -> 3074.24s]  with the self-stories being only used and otherwise going to another zoning category, in this case LO.
[3074.24s -> 3081.24s]  So my recollection is that we did do something to code next to allow it in slightly less intense categories than the equivalent of CS,
[3081.24s -> 3082.24s]  but I'll have to double check that.
[3082.24s -> 3089.24s]  But again, the zoning would not, if this case were approved as recommended by staff,
[3089.24s -> 3094.24s]  there would be the conditions that you approved would remain even after code next.
[3094.24s -> 3103.24s]  And so the question really is, does that take care of the concern that we heard from the neighbors in terms of the intensity that's available?
[3103.24s -> 3108.24s]  I believe it would, because it would be whatever you approved today, which would be, if you did approve it,
[3108.24s -> 3116.24s]  which would be just the self-storage use plus the potential for an office if the self-storage didn't work out.
[3116.24s -> 3119.24s]  And I left out one piece of information on the WLO.
[3119.24s -> 3123.24s]  The WLO at 25 feet in one store requires you to spread it out.
[3123.24s -> 3129.24s]  Under the CS, as limited, it allows us to compress it and allows us to save several heritage trees,
[3129.24s -> 3134.24s]  which the heritage trees were grandfathered from the heritage tree ordinance,
[3134.24s -> 3140.24s]  but we are working to save the heritage trees by collapsing the buildings and pushing them in and going up a little higher,
[3140.24s -> 3142.24s]  and WLO would not allow that.
[3142.24s -> 3147.24s]  I'm sorry, I missed that piece.
[3147.24s -> 3149.24s]  That's fine.
[3149.24s -> 3152.24s]  I move staff recommendation.
[3152.24s -> 3155.24s]  Staff recommendation is moved on...
[3155.24s -> 3156.24s]  CSCO.
[3156.24s -> 3159.24s]  First reading.
[3159.24s -> 3161.24s]  If it's only ready on first reading?
[3162.24s -> 3164.24s]  I close the hearing.
[3164.24s -> 3165.24s]  Yeah.
[3165.24s -> 3169.24s]  It's been moved to approve on staff recommendation first reading.
[3169.24s -> 3170.24s]  Close the hearing.
[3170.24s -> 3171.24s]  There is a second to that.
[3171.24s -> 3174.24s]  It's read to read a second to that discussion.
[3174.24s -> 3175.24s]  It's very good.
[3175.24s -> 3180.24s]  So I'm generally uncomfortable with this type of zoning process,
[3180.24s -> 3188.24s]  and I'm even more uncomfortable with F-25 conceptually, but this area and settlement agreements,
[3188.24s -> 3194.24s]  and it is kind of a Gordian knot of zoning and regulation.
[3194.24s -> 3196.24s]  I'm also not a big fan of self-storage.
[3196.24s -> 3201.24s]  I agree with Miss Bailey that it is a poor use of land and economic value,
[3201.24s -> 3209.24s]  but it is likely the only logical conclusion I can come up with,
[3209.24s -> 3214.24s]  given the very complicated and cumbersome code that we're dealing with at this moment.
[3214.24s -> 3217.24s]  So I think it's appropriate just to move forward on this.
[3218.24s -> 3220.24s]  Council?
[3220.24s -> 3223.24s]  Council or author?
[3223.24s -> 3228.24s]  I have a question for Mr. Rustoban.
[3228.24s -> 3232.24s]  I want to understand what happens under code next if they want to amend the CO.
[3232.24s -> 3235.24s]  So can we amend the CO in the future?
[3235.24s -> 3240.24s]  Or would any opening of F-25 zoning require it being translated into a code next category?
[3240.24s -> 3242.24s]  What did you just said?
[3243.24s -> 3246.24s]  So the CSCO would be converted to F-25.
[3246.24s -> 3248.24s]  It would be the same thing as the CSCO.
[3248.24s -> 3252.24s]  If in the future someone wanted to tweak that CO, they could not.
[3252.24s -> 3255.24s]  They could only ask for a new code next to any category.
[3255.24s -> 3258.24s]  And the base, if it's CS, is different than if it were W-L-O,
[3258.24s -> 3262.24s]  or what their current zoning is, even under the 525 process,
[3262.24s -> 3265.24s]  if you were trying to figure out what it translated to.
[3265.24s -> 3268.24s]  Well, it wouldn't be a matter of translating it to because we wouldn't translate it.
[3268.24s -> 3271.24s]  We would leave it F-25, which would be the same as proof today.
[3271.24s -> 3274.24s]  What would happen in the future if somebody would have to come in,
[3274.24s -> 3276.24s]  so it would not be rezoned under code next, right?
[3276.24s -> 3281.24s]  So in the future someone could come in and ask for a new code next zoning category.
[3281.24s -> 3283.24s]  They could ask for whatever they wanted to.
[3283.24s -> 3287.24s]  There would be no translation involved to be a request of a property owner.
[3287.24s -> 3291.24s]  But the base for the entitlements is higher under a CSCO?
[3291.24s -> 3293.24s]  Well, I don't know if there would be any base.
[3293.24s -> 3299.24s]  It would simply be a request to go from the CSCO, AKF-25 to whatever they were asking for.
[3299.24s -> 3306.24s]  But it would be higher than what they already have right now,
[3306.24s -> 3310.24s]  but that would be dependent upon what they are asking for at that time.
[3310.24s -> 3312.24s]  But if they were asking for the same thing,
[3312.24s -> 3315.24s]  and CS-CO is more intense than W-L-O, for instance,
[3315.24s -> 3318.24s]  it would be less of a jump in entitlement.
[3318.24s -> 3320.24s]  It's more likely to be granted.
[3320.24s -> 3322.24s]  Yes, depending on what they're asking for,
[3322.24s -> 3326.24s]  you'd be comparing it to whatever gets approved of that.
[3327.24s -> 3336.24s]  I'm going to make a motion for W-L-O, and I find it very funny that Mr. Flanagan is
[3336.24s -> 3341.24s]  motioning for storage and for additional overlays.
[3341.24s -> 3342.24s]  I need to meet too.
[3342.24s -> 3346.24s]  Council Member Alter moves to amend the motion to make it.
[3346.24s -> 3348.24s]  What was that?
[3348.24s -> 3350.24s]  W-L-O on first reading.
[3350.24s -> 3351.24s]  W-L-O.
[3351.24s -> 3353.24s]  Is there a second to the change?
[3353.24s -> 3354.24s]  W-L-O.
[3354.24s -> 3358.24s]  Ms. Houston seconds that.
[3358.24s -> 3365.24s]  Further discussion?
[3365.24s -> 3368.24s]  This is a hard one up and down.
[3368.24s -> 3371.24s]  I don't like the public storage use.
[3371.24s -> 3377.24s]  Just because my personal taste would have something out there
[3377.24s -> 3381.24s]  that was more supportive of neighborhood uses.
[3381.24s -> 3385.24s]  But I can't say that this is an inappropriate use for the property
[3385.24s -> 3389.24s]  because I think it is an appropriate use.
[3389.24s -> 3392.24s]  So if I look at it purely as a land use case,
[3392.24s -> 3397.24s]  I support the recommendations being sought because it's an appropriate
[3397.24s -> 3399.24s]  use for that location.
[3399.24s -> 3401.24s]  I'm happy that we're doing it on first reading,
[3401.24s -> 3406.24s]  and I would want to figure out better if there's a way to orchestrate
[3406.24s -> 3409.24s]  the rollback at some point in the future,
[3409.24s -> 3413.24s]  because that offers there.
[3413.24s -> 3417.24s]  But I find I have difficulty not approving something that limits it
[3417.24s -> 3422.24s]  to this use based on the fear that a future council would change it
[3422.24s -> 3429.24s]  because a future council can change anything we do on any track that we do.
[3429.24s -> 3432.24s]  But the record here would be obviously real extensive,
[3432.24s -> 3435.24s]  and we would have the property on here talking.
[3435.24s -> 3441.24s]  I would vote against this amendment and vote in favor of the motion from Mr.
[3441.24s -> 3444.24s]  Flanagan.
[3444.24s -> 3445.24s]  Mr. Gessar.
[3445.24s -> 3448.24s]  Mayor, I think I'll vote the same way.
[3448.24s -> 3451.24s]  I'm voting between this storage use or that storage use.
[3451.24s -> 3455.24s]  I don't like the storage use idea, but then in thinking about it,
[3455.24s -> 3459.24s]  if there's going to be storage uses, I suppose it's better on a place
[3459.24s -> 3463.24s]  where we aren't focusing lots of money and energy to turn into a welcome
[3463.24s -> 3467.24s]  and I see the storage units pop up on Lamar and Burnett and those things.
[3467.24s -> 3471.24s]  It gives me a lot of concern.
[3471.24s -> 3476.24s]  So I think as we look at the code, this looks like something we should look at it,
[3476.24s -> 3480.24s]  and thank you to Ms. Bailey for bringing up those cities that are looking to
[3480.24s -> 3483.24s]  limit those uses we can think about how we can maybe learn from them
[3483.24s -> 3486.24s]  and look at what we can do.
[3486.24s -> 3489.24s]  Further discussion on the amendment?
[3489.24s -> 3491.24s]  Let's take a vote.
[3491.24s -> 3495.24s]  This is the amendment to take it to W.O.O.
[3495.24s -> 3500.24s]  Those in favor of Council Member Altar's amendment to go to W.O.
[3500.24s -> 3502.24s]  Please raise your hand.
[3502.24s -> 3506.24s]  Ms. Houston, Ms. Kitchen, Mayor Pro Tem, Council Member Altar, those opposed,
[3506.24s -> 3508.24s]  raise your hand.
[3508.24s -> 3513.24s]  The others on the diets with pool and trucks are off, the amendment does not pass.
[3513.24s -> 3518.24s]  We are with the main motion which is on first reading
[3518.24s -> 3526.24s]  how to approve the CSCO, closed public hearing.
[3526.24s -> 3527.24s]  Any discussion?
[3527.24s -> 3530.24s]  Those in favor please raise your hand.
[3530.24s -> 3532.24s]  Those opposed?
[3532.24s -> 3534.24s]  Council Member Altar votes no.
[3534.24s -> 3539.24s]  The others voting aye with pool and trucks are off the diets pass on first reading.
[3539.24s -> 3543.24s]  Okay, let's go to the next thing.
[3544.24s -> 3551.24s]  Before we move on, I would like to talk to the applicant about adding the rollback provision
[3551.24s -> 3558.24s]  in the private restrictive covenant and also creating a memo I don't know if that gets
[3558.24s -> 3566.24s]  created from staff that suggests that this is intended for this particular use and not more broadly.
[3566.24s -> 3570.24s]  We can talk about the specific physical characteristics.
[3571.24s -> 3575.24s]  And I also believe that we may need to be make sure that we have the appropriate category
[3575.24s -> 3579.24s]  and is my understanding from what was presented tonight that we don't have a category and code next
