Zoning Case: C14-2013-0136
Meeting Date: 2014-04-17T00:00:00.000
Agenda Item: 71
Source URL: http://austintx.swagit.com/play/45620/0/
================================================================================

[0.00s -> 7.56s]  And I'll call back to order the meeting of the Austin City Council and I believe
[2039.12s -> 2043.44s]  Specifically I want to point out the amount of grade between the high and low points of the two buildings
[2043.72s -> 2049.20s]  So the high point of building a to the low point of building B is 27 feet
[2050.04s -> 2051.48s]  27 feet
[2051.48s -> 2055.96s]  It's got a lot of slope on the side both from front to back and from side to side
[2058.20s -> 2059.84s]  On the
[2059.84s -> 2065.76s]  Building a we have a nine foot six inch difference building B. We have a 19 foot difference
[2068.48s -> 2070.48s]  I go forward to this diagram
[2072.04s -> 2075.04s]  So this is a quick sketch of what that means on a
[2075.72s -> 2081.52s]  Three-story building if we're taking the lesser of those two slopes so on a nine and a half foot difference
[2081.96s -> 2087.44s]  The average site grade is the average of the top and bottom. So that pushes
[2088.00s -> 2091.84s]  the average site grade four and a half feet below our
[2092.84s -> 2094.84s]  first level
[2095.60s -> 2099.76s]  We start measuring up from there are 40 feet for the buildable area
[2099.76s -> 2107.08s]  Without this 40 feet of height, I have much less to work with to accommodate the slope and
[2107.88s -> 2109.88s]  I have to stair-step my building down
[2110.84s -> 2115.40s]  Which is problematic for use with an elevator and an over 55 population
[2116.24s -> 2122.76s]  Due to the elderly housing, I don't just need one accessible unit. I pretty much need every unit to be accessible
[2123.76s -> 2125.76s]  So that's my presentation. Thank you
[2129.76s -> 2135.04s]  The maximum height is 40 feet correct. You alluded to that. It's the average
[2135.84s -> 2138.88s]  Giving slope given sloping terrain. It's the average
[2139.96s -> 2146.96s]  Correct. So where you start your zero is the average between the high and the low on a commercial property
[2146.96s -> 2149.68s]  Not necessarily the same case with a residential property
[2149.68s -> 2156.80s]  So on our commercial property the high and the low you take the average of the two and that's where you start measuring 40 feet up from
[2156.80s -> 2158.80s]  so the
[2158.88s -> 2161.28s]  40 feet would be measured from grade
[2161.96s -> 2165.04s]  About where you show what I presume to be an elevator shaft
[2166.24s -> 2171.96s]  Roughly yes, and it actually varies from the front to the back, but on that diagram. Yes, it's kind of right where the
[2172.92s -> 2174.92s]  elevator shaft intersex
[2177.92s -> 2179.92s]  Councilmember I
[2180.96s -> 2183.64s]  Miss Warren Berg I did one question about parking mr
[2183.64s -> 2188.44s]  Harris mentioned that that there might be some willingness to put place all of the parking
[2188.44s -> 2193.96s]  Underground instead of having six parking spaces on the surface in front is with that
[2194.32s -> 2199.24s]  Where there be space in the plan garage to put those six six spaces or how would that be accommodated?
[2199.24s -> 2203.48s]  I think there would and we would have to kind of squeeze them under there currently
[2203.48s -> 2207.48s]  We show about I think five or six outside of the footprint of the garage
[2207.92s -> 2215.00s]  Thinking that those would be yes spots and that there would be more inviting if they were out front where you had easier walk up access
[2215.72s -> 2222.20s]  But we can also push those underneath if we need to because there might be difficulty for deliveries or visitors to find the
[2222.76s -> 2226.36s]  Spaces of the underground spaces is that the idea correct?
[2226.60s -> 2233.76s]  I also a little more intimidating to go into a garage sure. I also have a question about how the parking will be priced
[2233.76s -> 2237.04s]  But that's probably a question for for the agents and not for for you
[2237.36s -> 2243.88s]  It probably is but I'll jump in anyway because that's well in particular. I was curious system since this has been proposed as a
[2245.00s -> 2251.60s]  senior housing there are seniors who for whatever reason may not choose to drive
[2252.48s -> 2256.04s]  Absolutely or share cars or made share cars and so I
[2257.16s -> 2259.16s]  Often with with that housing
[2259.48s -> 2265.16s]  When you when you go to buy a condo it comes with a certain number of spaces whether you want them or not
[2265.48s -> 2269.08s]  And since this is senior housing in the interest of a forward ability
[2269.08s -> 2274.84s]  I'd wondered if if you had considered the possibility of of separating that the parking from the units
[2275.00s -> 2280.76s]  So that someone choosing to live here wouldn't be required to pay for a parking space that they weren't expecting to use
[2281.08s -> 2284.80s]  Correct. We were going to decouple the parking from the unit sale
[2285.08s -> 2289.08s]  So that if somebody wanted a three bedroom unit, but only wanted one car space
[2289.28s -> 2293.24s]  They could do that if somebody you know wanted a one bedroom unit
[2293.24s -> 2298.68s]  But needed two car spaces they could do that as well got it. That's that's what I needed to know
[2298.68s -> 2303.60s]  Thanks, thank you, and and I would just comment based on what I'm hearing real lately
[2304.24s -> 2307.32s]  In five years time you might see autonomous cars
[2307.92s -> 2313.56s]  Driving around Austin so there wouldn't be any question whether you could drive the car or not and one of the targeted
[2314.60s -> 2318.72s]  Populations for the autonomous car the future is the elderly population
[2320.12s -> 2322.12s]  Absolutely
[2322.88s -> 2324.88s]  I've actually been in one
[2325.88s -> 2328.80s]  All right, the next speaker is Macie Morris
[2333.48s -> 2335.48s]  Macie Morris not here
[2337.68s -> 2340.92s]  Okay, in that case we'll go to John Hawkins
[2341.56s -> 2362.24s]  Thank you, mr. Mayor and Council my name is John Hawkins. I'm representing myself as a more than 20 year resident of West Austin
[2362.24s -> 2365.48s]  I support the proposal that's before you this evening
[2365.48s -> 2369.68s]  I think it's a thoughtful and reasonable proposal as has been discussed
[2369.68s -> 2374.52s]  I think it deals with a lot of the concerns that have been raised by by some of my neighbors
[2374.52s -> 2380.96s]  I think it also meets a an acute need for our community and I'll give you an example we
[2381.60s -> 2383.04s]  when I first
[2383.04s -> 2386.28s]  Had kids we had the advantage of having my mother live
[2387.36s -> 2392.52s]  Nearby and actually provided care for our kids. She's now doing the same thing for my brother in Houston
[2392.72s -> 2397.52s]  We anticipate that she's gonna sell her house in Houston and want to move back to Austin at some point
[2397.60s -> 2402.76s]  So she would be exactly the type of person that would be able to access this type of
[2403.48s -> 2408.52s]  Housing it's something that is not available in the neighborhood as we as we've looked around
[2409.16s -> 2411.88s]  To date again, that would mean she would have to live
[2412.40s -> 2418.84s]  Further away and that would be yet either she or us another car at the intersection of 35 in
[2419.52s -> 2423.28s]  Exposition or trying to get the Westlake over a redbud trail
[2423.28s -> 2428.52s]  So this is exactly the type of thing. I think that that would help our neighborhood
[2428.52s -> 2432.76s]  I think we need to be reasonable about growth in our city
[2432.76s -> 2435.64s]  I certainly recognize the concerns with traffic and otherwise
[2435.64s -> 2442.92s]  But again as a neighbor who sits at the corner of Pecos and cherry and sees the cut-through traffic and people running stop signs
[2443.16s -> 2448.96s]  I'm right there at ground zero and I think this is a responsible way to deal with some of the needs of our community
[2448.96s -> 2450.96s]  So I appreciate your time
[2450.96s -> 2452.28s]  Thank you
[2452.36s -> 2454.36s]  Jerry converse
[2464.80s -> 2473.44s]  Afternoon mayor council members my name is Jerry converse. I am a resident of the area. I live about five blocks away on Maria Anna I
[2474.92s -> 2476.92s]  Support the applicants
[2477.92s -> 2484.84s]  Application I think a seniors project is you just heard would be a great idea. It certainly provides a
[2486.04s -> 2489.96s]  Residential use that isn't available as such in our community
[2490.48s -> 2495.48s]  It will allow the residents to remain in the community if they're already live there
[2495.64s -> 2498.66s]  They can sell their home move into one of these units
[2498.92s -> 2504.72s]  They can retain the connections they have with the drugstore or the grocery store or the cleaners the bank
[2504.96s -> 2507.72s]  All of the retail this right there is walkable
[2508.20s -> 2510.20s]  If for some reason
[2510.36s -> 2512.20s]  residents unable to
[2512.20s -> 2516.72s]  Amble then the bus stops are right there. They can use the public transportation
[2517.36s -> 2520.80s]  That'll get them down to the library get them down to oh
[2521.28s -> 2525.92s]  My gosh the Terry Town Center and the dogs and all that they're running around over there
[2526.32s -> 2528.72s]  Get them on down to the golf course if they want to
[2529.72s -> 2533.04s]  So it's a very well thought out and I think a very very good
[2534.04s -> 2538.70s]  Project for you to look at if the parking goes underneath
[2539.28s -> 2547.62s]  I guarantee you this project will be a whole lot better looking than the backside of some retail thing that gets built on the state school
[2547.62s -> 2549.22s]  site someday and
[2549.22s -> 2556.10s]  You know that this site will get incorporated into that if it's not developed pretty substantially like it is
[2558.04s -> 2560.50s]  The impact on the neighborhood
[2561.38s -> 2564.38s]  Hood itself from the standpoint of cut-through
[2565.18s -> 2571.50s]  Traffic should be zero unlike my street where people think it's an f1 track
[2573.10s -> 2578.34s]  It this will not generate that sort of of traffic for the neighborhood
[2579.74s -> 2580.98s]  and
[2580.98s -> 2582.18s]  finally
[2582.18s -> 2584.18s]  you heard a reference to the
[2585.06s -> 2587.22s]  The Planning Commission I wasn't there
[2587.22s -> 2592.06s]  I was just interested in I picked up on it because I had the same thought and if you're really looking ahead
[2592.62s -> 2599.02s]  At what the land use I mean this is a very special piece of land. There's nothing like this available anywhere in this area
[2599.54s -> 2602.10s]  Unless you do go start ripping up a neighborhood
[2603.62s -> 2605.62s]  So if you're gonna look ahead
[2605.70s -> 2612.82s]  Maybe think about putting a 10 to 12 story building on the thing a vertical that's got the 40-some odd units and scale the footprint way down
[2613.14s -> 2618.62s]  And and make it a real show place in West Austin. You have them on the other side of the freeway
[2619.30s -> 2621.30s]  Thanks very much
[2621.94s -> 2624.14s]  Thank you Frank Heron
[2625.34s -> 2627.50s]  and don't any time is
[2628.54s -> 2630.06s]  John Morris
[2630.06s -> 2632.06s]  There's John here
[2632.62s -> 2634.62s]  Not here so you have three minutes
[2635.98s -> 2637.98s]  Thank you mayor council
[2638.54s -> 2644.18s]  I've lived in Terry town for more than ten years including the most recent five years
[2646.02s -> 2651.58s]  Terry towns also the only residential neighborhood in Austin where I do farming in my real estate business
[2652.50s -> 2657.38s]  Not tractor and plow type, but I send marketing materials regularly into the neighborhood
[2657.38s -> 2665.90s]  So I've got a personal end of financial stake in keeping the neighborhood as inviting as possible. I think this
[2668.18s -> 2677.50s]  Project is exactly what imagine Austin calls for and we ought to be looking for sites like this and develop them developing them
[2677.50s -> 2679.50s]  With as many units as possible
[2680.62s -> 2685.62s]  This is probably the least impactful parcel in all of Terry town in which to build
[2687.06s -> 2689.06s]  multifamily as has been mentioned
[2690.10s -> 2692.90s]  There's not going to be any commuter traffic generated
[2693.54s -> 2701.26s]  those over 55 residents who still do work and are not retired are going to take 35th to mopack
[2702.50s -> 2706.70s]  The only traffic that could possibly be generated would be trips to the
[2708.54s -> 2714.42s]  In neighborhood services like the Randalls and the drug store and so forth
[2717.18s -> 2721.58s]  Expositions not a predominantly single family neighborhood that needs preserving
[2721.58s -> 2729.06s]  It's a major commercialized thoroughfare. This sites about a thousand feet from a commercial strip center
[2730.62s -> 2738.10s]  There's an electrical substation in between and there's a gas station just beyond the strip center and as you heard
[2738.10s -> 2742.42s]  The only resident who faces this project is strongly favoring it
[2742.42s -> 2750.58s]  imagine Austin directs that our new city-wide policy is to be more compact and connected and
[2751.06s -> 2755.54s]  To attain more density in a wider variety of housing options throughout the city
[2756.30s -> 2758.30s]  That's exactly what this project
[2759.54s -> 2762.02s]  Will accomplish on a small scale
[2763.54s -> 2768.42s]  To resist this project because this is the least impactful parcel is
[2768.98s -> 2776.66s]  To essentially exempt Terry town from imagine Austin and from the goals and objectives of the comprehensive plan
[2778.78s -> 2780.78s]  If we're going to add
[2781.30s -> 2788.54s]  610,000 people within the city limits of Austin by 2039 which is what imagine Austin says we will do
[2790.22s -> 2796.62s]  We would need to permit a project of this size and this density at the rate of about one per day
[2797.46s -> 2802.34s]  Every calendar day of every year for 25 years
[2804.86s -> 2812.74s]  There is substantial MF3 in Terry town and there have been apartments and condos being built all the way back into the 40s
[2812.74s -> 2818.22s]  Those were rental units at the time. They're now condos and they provide a degree of affordability in it
[2819.58s -> 2821.58s]  Thank you very much. Thank you for
[2822.58s -> 2824.58s]  Vic
[2824.94s -> 2826.94s]  Vicki barham
[2828.22s -> 2830.22s]  You have three minutes
[2835.10s -> 2836.82s]  Good afternoon
[2836.82s -> 2842.90s]  My name is Vicki barham, and I'm a resident of central Austin and the owner of a business yellow door design
[2843.10s -> 2851.66s]  Which is a residential interior design firm as a designer. I've worked with several clients in central Austin who have downsized their homes over the years
[2852.50s -> 2857.78s]  I am speaking before you today in support of the 32 15 residences. I
[2858.74s -> 2863.62s]  Became aware of this project several years ago and even signed a petition against it
[2864.42s -> 2871.00s]  Since then however, I have learned more about the acute need in Terry town for clients and others who are selling their family homes
[2871.34s -> 2873.82s]  Yet are not ready to move into Westminster Manor
[2874.82s -> 2880.84s]  Westminster is a great wonderful retirement community that has served the needs of our community for over 50 years
[2881.32s -> 2887.08s]  But how do we serve the needs of our residents who want to sell their family homes yet stay in the neighborhood I?
[2888.16s -> 2894.40s]  Applause Steve burline for his willingness to step up to research and act upon the ever-changing needs of Terry town
[2894.80s -> 2898.84s]  The needs of our community are not the same as they were six years ago as
[2899.72s -> 2904.76s]  Individuals continuously knock on people's doors asking them to sell their aging family home
[2904.76s -> 2909.68s]  So they can knock them down and build larger ones the gaping hole only increases
[2910.16s -> 2912.16s]  Where will our aging community go?
[2912.16s -> 2920.60s]  As an individual and developer mr. Burline has listened to the members of his community who are asking for transitional lock-and-go residences
[2921.52s -> 2923.52s]  the blessing of the location of
[2924.64s -> 2929.64s]  32 15 exposition is that these residences will plan their days around traffic
[2930.00s -> 2933.12s]  Therefore adding minimal footprint to prime time traffic hours
[2933.48s -> 2937.60s]  They will pay taxes, but they will not enroll children in our crowded schools
[2937.80s -> 2943.32s]  They will be traveling and they are members of our community who know about history of our neighborhood as
[2944.16s -> 2948.08s]  An interior designer who's lived in central Austin for over 14 years
[2948.08s -> 2954.24s]  I've had the opportunity to work with several individuals and couples over 60 who want to sell their family home
[2954.72s -> 2956.72s]  Downsize and simplify their lives
[2958.00s -> 2963.08s]  From their family homes in Terry town. They have moved to Woodstone, which was built in 1973
[2963.60s -> 2970.44s]  To town homes off of Pecos, which were built in 1980 to smaller houses in the neighborhood and into Westminster
[2970.44s -> 2976.88s]  And every situation but one they had to remodel to bring their property up to date and plan for future needs
[2977.40s -> 2979.88s]  None of them wanted to engage in this remodeling
[2980.12s -> 2986.56s]  At one client who moved into and then out of Westminster after four months because they just weren't ready for the lifestyle change
[2986.96s -> 2994.08s]  Had 32 15 residences been available to them when they were selling their family home the transition from their family home
[2994.20s -> 2996.20s]  To condo living could have been seamless
[2998.04s -> 3004.72s]  Every one of the above dimensions goals of the above mentioned clients goals was to shop at the same grocery store
[3004.72s -> 3006.72s]  The same dry cleaners and pharmacy
[3006.72s -> 3009.72s]  They want to be near their church children and grandchildren
[3009.84s -> 3014.76s]  They have a history of planning their days around the Austin traffic and they already know how to avoid
[3014.84s -> 3018.60s]  Exposition when cuz he's let's out. Thank you. Thank you
[3019.88s -> 3021.88s]  Brett Fremel
[3026.84s -> 3028.84s]  Nope that's fine
[3031.04s -> 3035.68s]  Good afternoon, and thank you for your service. My name is Brett Fremel, and I'll be brief
[3035.68s -> 3038.32s]  I'm throwing myself and my wife out there as
[3039.08s -> 3041.08s]  end users of this project
[3041.92s -> 3048.60s]  We're both baby boomers over 55 and empty nesters and have been
[3051.16s -> 3058.40s]  Looking for something for quite some time and finding the options in Central West Austin pretty limited
[3059.56s -> 3064.56s]  Elm Terrace this project gives us that opportunity and many other austinites a
[3065.44s -> 3070.72s]  Chance to stay where we currently work live and play. Thank you
[3071.92s -> 3073.92s]  Mike Cummins
[3077.20s -> 3079.20s]  Mike Cummins, okay
[3082.92s -> 3085.44s]  And council my name is Mike Cummins
[3086.52s -> 3092.68s]  I've been I guess it was hoping I could have gone a little earlier. I've crossed us almost everything my list here that I had to say
[3094.16s -> 3098.88s]  My my wife and I strongly support this use I think it's a very very
[3099.88s -> 3107.92s]  Needed use I do have experience with the 55 and over community having worked with del web for many years
[3108.60s -> 3114.40s]  And I know that the service that it provides in the the camaraderie ship with your your fellow
[3116.36s -> 3120.20s]  Neighbors is is is the greatest thing there can be
[3121.04s -> 3126.80s]  There's again no impact on the schools, which I think is great and it with all the mixed use
[3127.80s -> 3130.16s]  Developments that are being done now
[3130.16s -> 3136.24s]  I think it's wonderful that we just have a 55 and fodder component that really is sort of the mixed use of
[3136.64s -> 3139.16s]  The cicis village, so it just goes
[3139.92s -> 3144.20s]  perfectly with that provides the rooftops needed for to support our
[3145.52s -> 3146.84s]  commercial
[3146.84s -> 3148.60s]  aspect
[3148.60s -> 3150.44s]  we
[3150.44s -> 3155.14s]  When I say we I mean my wife and I have talked about this quite a bit and we would love the opportunity to live there
[3155.14s -> 3157.14s]  One day ourselves
[3158.06s -> 3160.46s]  I'm interested in the 34
[3161.54s -> 3163.54s]  Residents or more
[3163.54s -> 3165.26s]  Just for the affordability aspect
[3165.26s -> 3170.02s]  I'm afraid that this is going to be built either way and if it's limited to such a small number that it will
[3170.54s -> 3174.98s]  Effectively out price those of us that can't afford a million five hundred thousand dollars
[3176.42s -> 3180.18s]  So we're I think the 34 is is a perfect number
[3180.82s -> 3185.74s]  The renderings the buffers the setbacks is absolutely beautiful. I
[3186.66s -> 3192.74s]  Think they've done a fine job in the unit mix the product mix the one two and three bedrooms
[3192.90s -> 3194.90s]  so there'll be something for everybody and
[3196.02s -> 3198.02s]  I like many of the people I've spoke before
[3199.86s -> 3206.02s]  Aren't looking forward to just having such a limited choice of Sun City or Westminster for this type of living
[3206.98s -> 3208.50s]  and
[3208.54s -> 3211.14s]  The underground parking I think is an extreme
[3212.94s -> 3214.94s]  benefit
[3214.94s -> 3216.94s]  and I
[3217.02s -> 3222.06s]  Think the rest of the points have all been covered so thank for your time and appreciate your consideration this matter
[3222.74s -> 3224.10s]  Thank you
[3224.10s -> 3226.10s]  Roxanne Kaufman
[3226.10s -> 3241.54s]  Hello, my name is Roxanne Kaufman. I am a 40-year resident of Terry Town and I'm a huge
[3242.10s -> 3244.26s]  supporter of this project. I
[3244.78s -> 3248.54s]  believe that everyone knows that the housing options in Terry Town are
[3249.46s -> 3253.30s]  sorely needed especially those under 2300 square feet and
[3253.30s -> 3260.78s]  Virtually no one and very few two bedrooms available in that in that market
[3261.82s -> 3266.18s]  the pricing the housing prices have doubled over the last 10 years and
[3267.10s -> 3269.10s]  Get Ray Rosen
[3269.10s -> 3271.10s]  10% in the last year
[3271.42s -> 3275.26s]  Which indicates that there is a huge supply and demand in balance
[3276.14s -> 3283.26s]  The type of property that we're talking about if they can get this zoning it are single level with an elevator
[3283.70s -> 3290.98s]  Can't tell you how desperately needed that is in this area. I did a parameter search from
[3291.70s -> 3293.70s]  MoPAC to Lake Austin Boulevard
[3294.58s -> 3300.24s]  Exposition to 35th within that area. There's only 30 homes on the market
[3302.02s -> 3309.94s]  There's only three homes that are under 2300 square feet of those three homes. They were built in
[3309.94s -> 3320.82s]  1949 two of them and the other one was built in 1941 and I know that when we were before the planning committee earlier
[3323.02s -> 3326.88s]  Kathy Kyle had mentioned that there were many properties under 500,000
[3327.46s -> 3334.50s]  Available in Terry Town. I'm not going past MoPAC and I'm not going past 35th Street or beyond Lake Austin Boulevard
[3334.94s -> 3341.28s]  But there's not one absolutely one property under five hundred thousand dollars in that one-beat area
[3341.82s -> 3344.10s]  There the lowest price house is
[3344.74s -> 3349.48s]  675,000 that is the one that is was built in 1949
[3350.14s -> 3352.14s]  so in order to build
[3352.90s -> 3356.04s]  Or buy if you want to have a two-bedroom or a one-bedroom
[3356.46s -> 3358.54s]  I've lived in Terry Town for 40 years
[3358.54s -> 3362.66s]  I was forced to move downtown just to have something new that was smaller
[3362.86s -> 3366.50s]  It wasn't available in Terry Town. I want to be back in Terry Town
[3366.98s -> 3370.34s]  But I only want a one or two bedroom and I don't want stairs
[3370.70s -> 3377.42s]  Townhouses the development that's up in field. There are three stories. Nobody our age my age anyway is
[3377.86s -> 3379.98s]  is gonna buy anything with stairs and
[3380.50s -> 3384.54s]  I would love to be able to walk my granddaughter to Cassis or
[3385.10s -> 3391.42s]  Tiger to over the rainbow or go to the pharmacy or be able to be back in my neighborhood that I helped develop and
[3392.14s -> 3394.14s]  Work very very hard in that community
[3397.22s -> 3400.82s]  Again exposition is an arterial road bus stops
[3402.22s -> 3409.02s]  Traffic signs I would think that this beautiful project that you've seen the pictures of earlier would be a little easier on the eyes
[3409.02s -> 3410.10s]  then
[3410.10s -> 3415.30s]  The portables that you look at now from the state school. I think it would be
[3416.10s -> 3419.38s]  adding beauty. It's not a high rise
[3420.38s -> 3425.98s]  Thank you. Thank you John McKinney McCurney
[3430.98s -> 3432.98s]  McKin me
[3436.82s -> 3442.26s]  Mayor council members, thank you for letting me address you today. I'm gonna start my timer here so I stay on time I
[3443.50s -> 3446.42s]  Think if I could I would just rewind Roxanne speech
[3447.38s -> 3450.82s]  I'm I'm a resident. I live about 1,900 feet from the site
[3450.82s -> 3456.70s]  I am for the applicant, but I probably differ a little bit with what the Africans trying to do I
[3457.58s -> 3463.14s]  Was one part of the team to develop the triangle with time to kel. I was helped write the UNO ordinance
[3463.78s -> 3466.62s]  I wrote the design restrictions with Juan Coatera for UNO
[3466.94s -> 3474.62s]  No stranger to introducing density to our city and the ramifications and just the discussion points and go along with it
[3474.62s -> 3482.70s]  And I find a perplexing that we're talking about 25 or 30 or 35 units when we should be talking about 50 or 100 for the exact
[3482.90s -> 3484.90s]  Same issues that she just pointed out
[3486.14s -> 3491.14s]  We all know that the post World War two three units to the acre
[3491.98s -> 3493.58s]  Design of cities doesn't work
[3493.58s -> 3499.98s]  We can't keep doing that and while we should protect it in areas like we did in UNO with overlays in certain parts and
[3500.42s -> 3507.02s]  Take the commercial corridors and introduce density and nice retail and and higher density housing is a great idea
[3507.02s -> 3509.46s]  Unfortunately, we have a spot zoning issue here
[3509.98s -> 3516.82s]  And I think we should be talking about more density not less the land behind it is could be a perfect
[3517.26s -> 3521.34s]  Rest in town center someday, but I am sure our residents
[3521.34s -> 3528.10s]  You know in my neighborhood aren't gonna like that either and one thing I can tell you from being a developer and introducing density and an inner
[3528.10s -> 3530.62s]  City and not just Austin, but in other cities around the country
[3531.66s -> 3537.78s]  Tom could tell you I'm sure that the folks that hated us in 2000 when we were trying to get the triangle approved
[3538.06s -> 3545.46s]  Love this in 2003 when we saw them at Mantolus or my friends in Pemberton that would call and hate in me because we're gonna
[3545.46s -> 3547.90s]  Build tall buildings and block their view of the tower
[3549.02s -> 3552.84s]  Said hey that you know that actually worked out pretty well guys and we did a good job
[3552.96s -> 3555.28s]  So I think well plan development makes sense
[3555.52s -> 3560.64s]  But this idea that we shouldn't introduce density and or any inner city is crazy
[3561.00s -> 3566.12s]  I mean I don't I don't I understand the political rally you guys face. You don't irritate everybody in the neighborhoods
[3566.48s -> 3569.28s]  But what generally gets built if well-planned
[3570.00s -> 3577.56s]  Makes a lot of sense once it's done and I think everybody gets over that fear and trepidation that when it's being planned or talked about
[3578.20s -> 3581.32s]  You know just scares them. So I hope you do that
[3581.36s -> 3586.80s]  The other thing is I know we can't do inclusionary zoning and I think legal staff doesn't like it here in Austin
[3586.80s -> 3592.32s]  I wish we could do that. I wish I wish we could require that all developers provide
[3592.60s -> 3595.56s]  You know at least 10 or 20% just like we did a new know
[3596.00s -> 3602.76s]  For the students there. So wish you know, hopefully Steve can agree to provide that here. So I think I'm almost up. So thanks
[3604.04s -> 3606.04s]  Tom Turkel
[3612.32s -> 3619.12s]  And mayors and members of the council much of what I'd plan to say to you today has already been said by my neighbors
[3619.12s -> 3621.92s]  I'll just make two points. I am frankly surprised
[3621.92s -> 3625.84s]  It's a number of my neighbors that have turned out today to talk to you about this issue
[3625.84s -> 3630.12s]  I think they are vastly representative of a great majority of people that live in Terrytown
[3630.64s -> 3637.64s]  We drive by this site every day on our way north and again back home and
[3638.36s -> 3641.80s]  What we will see if we drive down that position
[3642.92s -> 3649.44s]  Is very important to the people that live in Terrytown. There are beautiful grove of trees in a very natural setting
[3649.64s -> 3655.84s]  This proposal has an extraordinary setback of 75 feet to protect most of those trees
[3656.12s -> 3659.60s]  It has moat the vast majority of it parking underground
[3659.96s -> 3666.28s]  So what we're going to see what we see today is what we will see in the future if you
[3666.72s -> 3669.72s]  Grant the applicant's request. I hope you will
[3670.44s -> 3673.64s]  You're going to hear I think from the neighborhood association
[3673.64s -> 3678.20s]  Which I think in this case is frankly out of step with the vast majority of the people that live in Terrytown
[3678.56s -> 3682.56s]  That they have a concern about having an MF designation along
[3682.92s -> 3687.84s]  Exposition they are concerned about the president that will set and let me suggest to you that
[3688.52s -> 3690.80s]  While they're right to worry about precedent
[3690.80s -> 3697.80s]  I think they've missed the opportunity and don't really understand what could happen if you grant the applicant's request
[3697.80s -> 3704.84s]  You have an opportunity to set a precedent of demanding a higher level of quality in exchange for a modest increase in density
[3705.68s -> 3710.44s]  By the conditional overlay that you're going I hope that you will approve today
[3710.88s -> 3716.40s]  You can set a precedent the fifth council in this community demands a high level of quality extraordinary
[3716.96s -> 3726.28s]  Concessions in exchange for modest increases in density and that will benefit our neighborhood far greater than whatever the first letter is in the zoning designation
[3727.36s -> 3729.36s]  on the city's
[3729.96s -> 3735.60s]  Zoning maps that really isn't going to matter and wherever it's 34 units or 27
[3735.96s -> 3740.36s]  No, one is ever going to know when they drive by that project. It'll be absolutely
[3741.04s -> 3747.92s]  Undissurnable, but the presence of those please and the absence of parking is going to be a qualitative different
[3747.92s -> 3751.24s]  That will make a real difference to the people who live in Terrytown. Thank you
[3752.80s -> 3754.80s]  Thank you, David Wyland
[3759.44s -> 3761.44s]  Or wheeling
[3761.64s -> 3763.64s]  I
[3766.52s -> 3781.52s]  Think it's really important first of all, let me say I'm a resident of Terrytown. I've been there for about 10 years I live about a quarter of
[3781.52s -> 3784.20s]  About a half mile from this site. I drive by it all the time
[3784.40s -> 3790.88s]  We desperately need this my mother-in-law is 75 years old if we don't build this
[3790.88s -> 3792.88s]  She's gonna come live with me
[3795.20s -> 3797.20s]  I'm joking I'm joking
[3800.20s -> 3802.20s]  But but in all honesty
[3803.24s -> 3807.44s]  We need we need something that has an
[3808.48s -> 3813.84s]  Elevator in it to support this portion of the demographic. I mean we just have to have it
[3813.84s -> 3819.68s]  I think as I look across what's in Terrytown and what's being built there up and down
[3820.24s -> 3826.72s]  Enfield, which is close to my house. They're going getting denser and denser, which I agree with John is fantastic
[3826.72s -> 3829.24s]  It brings diversity to our neighborhood. It brings affordability
[3829.88s -> 3835.56s]  We talk about keeping Austin affordable. We keep talk about keeping Austin diverse
[3836.28s -> 3842.56s]  But not not really when it's inconvenient and that just doesn't work. That's not the way this city works
[3843.08s -> 3845.52s]  Yes, could this potentially create a
[3846.16s -> 3851.84s]  A little more traffic maybe it would be at the right time could it put a little bit more pressure on?
[3852.48s -> 3858.80s]  Services maybe probably not because of this demographic actually I think what's important is that
[3859.24s -> 3861.72s]  We think about the greater good and
[3862.24s -> 3867.56s]  All of us who have parents who are aging and all of us who are eventually who are eventually going to be
[3868.08s -> 3874.04s]  Able to live here and have a little bit of forethought. I was standing at this podium in 2007 in
[3874.80s -> 3882.28s]  Support of this same project in 2007 housing prices in Terrytown were two to three hundred dollars a square foot
[3882.44s -> 3885.64s]  Now they're four to six hundred dollars a square foot
[3885.96s -> 3890.12s]  So where are we going with all this we've got to bring some affordability the final thing?
[3890.12s -> 3896.68s]  I want to say is I have known Steve Burline for ten plus years. I've gone to church with him
[3896.68s -> 3901.80s]  I've gone to retreats with him. I have done business with him. I've watched his developments
[3901.80s -> 3905.52s]  I know him as an individual. I know him as a family man and he's an
[3906.04s -> 3910.08s]  Exceptionally fine person. We could not have a better person
[3910.68s -> 3917.16s]  Shepherding this project and a better person who has the overall interest of the community in mind. Thanks
[3918.00s -> 3919.50s]  Thank you
[3919.50s -> 3921.50s]  boo no mozzah
[3931.80s -> 3941.52s]  Good afternoon. My name is Boone Almanza. Thank you. Thank you for giving us the opportunity to speak to you
[3942.08s -> 3949.88s]  I'm in support of this project. I have lived in Terrytown almost all of my 51 years and my family still lives there
[3949.88s -> 3955.56s]  My parents still live there. I think the importance to me about this project is number one. It fits within the neighborhood
[3955.76s -> 3959.12s]  This is not going to disturb our neighborhood. I have walked
[3959.88s -> 3961.04s]  Biked
[3961.04s -> 3966.04s]  And on almost every piece of property. There is in Terrytown in the last 51 years
